% 1. Title: Citation Classification
 % 
 % 2. Sources:
 %  (a) Creator: Lucas Lopes Resende
 %  (b) Donor: USPTO
 %  (c) Date: April 2020
 % 
 @RELATION Patent

@ATTRIBUTE class {"Communication & Textual Studies","Psychology & Cognitive Sciences","General Science & Technology","Social Sciences","Physics & Astronomy","Built Environment & Design","Enabling & Strategic Technologies","Visual & Performing Arts","Biology","Information & Communication Technologies","Agriculture Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Mathematics & Statistics","Engineering","Clinical Medicine","Chemistry","Historical Studies","Field English","Economics & Business ","General Arts Humanities & Social Sciences","Biomedical Research","Philosophy & Theology"}
@ATTRIBUTE citation String

@DATA
"Social Sciences","Reamer Frederic G Ethical Standards in Social Work A Review of the NASW Code of Ethics nd ed Washington DC NASW Press ISBN OCLC"
"Social Sciences","Merton Robert Social Theory and Social Structure Free Press ISBN "
"Social Sciences","a b Macy Michael W Willer Robert From Factors to Actors Computational Sociology and Agent Based ModelingAnnual Review of Sociology doi annurevsoc JSTOR"
"Social Sciences","The Global Public Administration Resource A forum where practitioners academics and students can discuss topics in public administration"
"Social Sciences","Geography is often defined in terms of two branches human geography and physical geography Human geography deals with the study of people and their communities cultures economies and interactions with the environment by studying their relations with and across space and place Physical geography deals with the study of processes and patterns in the natural environment like the atmosphere hydrosphere biosphere and geosphere"
"Social Sciences","Sociologists' approach to culture can be divided intosociology of cultureandcultural sociology the terms are similar though not entirely interchangeable Sociology of culture is an older term and considers some topics and objects as more or lessculturalthan others Conversely cultural sociology sees all social phenomena as inherently cultural Sociology of culture often attempts to explain certain cultural phenomena as a product of social processes while cultural sociology sees culture as a potential explanation of social phenomena"
"Social Sciences"," The FBI Libraryfbiacademyedu Archived from the original on August Retrieved April"
"Social Sciences","Five laws Library and information science Education for librarianship Acquisitions Archival science Assessment Cataloging Circulation Classification Collection development Conservation Electronic resource management Information literacy Legal deposit Library history Library instruction Library management Library publishing Preservation Readers' advisory Reference Digital Roving Technical services"
"Social Sciences","Another new public service model is what has been called New Public Governance an approach which includes a centralization of power an increased number role and influence of partisan political staff personal politicization of appointments to the senior public service and the assumption that the public service is promiscuously partisan for the government of the day"
"Social Sciences","Physical geography can be divided into many broad categories including"
"Social Sciences","Margetts Helen Dunleavy Patrick Bastow Simon Tinkler Jane July New public management is dead long live digital era governanceJournal of Public Administration Research and Theory doi jopart mui"
"Social Sciences","Probabilistic Population Projections the nd Revision Probabilistic Population Projections based on the Revision of the World Population Prospects"
"Social Sciences","A thriving cultural studies scene has existed in Australia since the late s when several key CS practitioners emigrated there from the UK taking British Cultural Studies with them after Margaret Thatcher became Prime Minister of the UK in A school of cultural studies known ascultural policy studiesis one of the distinctive Australian contributions to the field though it is not the only one Australia also gave birth to the world's first professional cultural studies association now known as the Cultural Studies Association of Australasia in Cultural studies journals based in Australia include International Journal of Cultural Studies Continuum Journal of Media & Cultural Studies and Cultural Studies Review"
"Social Sciences","Categories Gender studiesCritical theoryInterdisciplinary subfields of sociologySocial philosophy"
"Social Sciences","Since the s social ecology studies have built on the social disorganization theories Many studies have found that crime rates are associated with poverty disorder high numbers of abandoned buildings and other signs of community deterioration As working and middle class people leave deteriorating neighborhoods the most disadvantaged portions of the population may remain William Julius Wilson suggested a povertyconcentration effect which may cause neighborhoods to be isolated from the mainstream of society and become prone to violence"
"Social Sciences"," Code of Ethics English and Spanish National Association of Social Workerssocialworkersorg Archived from the original on June "
"Social Sciences","Contemporary political sociology includes these areas of research but it has been opened up to wider questions of power and politics Today political sociologists are as likely to be concerned with how identities are formed that contribute to structural domination by one group over another the politics of who knows how and with what authority and questions of how power is contested in social interactions in such a way as to bring about widespread cultural and social change Such questions are more likely to be studied qualitatively The study of social movements and their effects has been especially important in relation to these wider definitions of politics and power"
"Social Sciences","Lipset SM Introduction Ostrogorski and the Analytical Approach to the Comparative Study of Political Parties in M Ostrogorski Democracy and the Organisation of Political vol ed"
"Social Sciences","The history of gender studies looks at the different perspectives of gender This discipline examines the ways in which historical cultural and social events shape the role of gender in different societies The field of gender studies while focusing on the differences between men and women also looks at sexual differences and less binary definitions of gender categorization"
"Social Sciences","Cultural Studies criticizes the traditional view of the passive consumer particularly by underlining the different ways people read receive and interpret cultural texts or appropriate other kinds of cultural products or otherwise participate in the production and circulation of meanings On this view a consumer can appropriate actively rework or challenge the meanings circulated through cultural texts In some of its variants then cultural studies has thus shifted the analytical focus from traditional understandings of production to consumption which is nevertheless understood as a form of production of meanings of identities etc in its own right Stuart Hall John Fiske and others have been influential in these developments"
"Social Sciences"," CALA Chinese American Librarians Association 華人圖書館員協會cala weborg"
"Social Sciences","Berger Anne Emmanuelle September Gender springtime in Paris a twenty first century tale of seasonsdifferences A Journal of Feminist Cultural Studies doi "
"Social Sciences","Committee on Electronic Records February Guide For Managing Electronic Records From An Archival PerspectivePDF wwwicaorg International Committee on Archives p Retrieved February"
"Social Sciences","Improving efficiency with business like practices and attitudes toward daily operations"
"Social Sciences","The library at Gallaudet University the only deaf liberal arts university in the United States was founded in The library's collection has grown from a small number of reference books to the world's largest collection of deaf related materials with over books and thousands of other materials in different formats The collection is so large that the library had to create a hybrid classification system based on the Dewey Decimal Classification System in order to make cataloging and location within the library easier for both library staff and users The library also houses the university's archives which holds some of the oldest deaf related books and documents in the world"
"Social Sciences","Zastrow Charles Introduction to Social Work and Social Welfare Empowering People Belmount Cengage Learning ISBN"
"Social Sciences","Berger Peter L The Sacred Canopy Elements of a Sociological Theory of Religion Anchor Books paperback ISBN "
"Social Sciences","Vigo R Mathematical Principles of Human Conceptual Behavior The Structural Nature of Conceptual Representation and Processing New York and London Scientific Psychology Series Routledge ISBN "
"Social Sciences","In more recent years with the growth of digital technology the field has been greatly influenced by information science concepts In the English speaking world the termlibrary scienceseems to have been used for the first time in India in the book Punjab Library Primer written by Asa Don Dickinson and published by the University of the Punjab Lahore Pakistan This university was the first in Asia to begin teachinglibrary scienceThe Punjab Library Primer was the first textbook on library science published in English anywhere in the world The first textbook in the United States was the Manual of Library Economy published in In C C Williamson who was appointed by the Carnegie Corporation published an assessment of library science education entitledThe Williamson Report"
"Social Sciences","Lebow Richard Ned Thucydides the ConstructivistThe American Political Science Review doi S JSTOR"
"Social Sciences","The education of social workers begins with a bachelor's degree BA BSc BSSW BSW etc or diploma in social work or a Bachelor of Social Services Some countries offer postgraduate degrees in social work such as a master's degree MSW MSSW MSS MSSA MA MSc MRes MPhil or doctoral studies PhD and DSW Doctor of Social Work Increasingly graduates of social work programs pursue post masters and post doctoral studies including training in psychotherapy"
"Social Sciences","Bryan Palmer Descent into Discourse The Reification of Language and the Writing of Social History Trent University Peterborough Canada"
"Social Sciences","Maria Ossowska and Stanislaw Ossowski started to introduce the concept in the s Thomas Kuhn's Structure of Scientific Revolutions led to an increased interest in not only the history of science but also its philosophical underpinnings Kuhn's work established that the history of science was less a linear succession of discoveries but rather the concept of paradigms to the philosophy of science Paradigms are broader socio intellectual constructs that determine which types of truth claims are permissible Science studies try to identify crucial dichotomies as in science and technology nature and culture theories and experiments science and fine art leading to the separation of various science fields and practices Sociology of scientific knowledge developed at the University of Edinburgh where David Bloor and his colleagues developed what has been termed the 'strong programme' The strong programme proposed that both 'true' and 'false' scientific theories should be treated the same way Both are caused by social factors or conditions such as cultural context and self interest All human knowledge as something that exists in the human cognition must contain some social components in its formation process"
"Social Sciences","Ashley D Orenstein DM Sociological theory Classical statements th ed Boston Pearson Education pp –"
"Social Sciences","Bekenstein Jacob D August Information in the holographic universeScientific American Bibcode SciAmbB doi scientificamerican "
"Social Sciences","The field of library science seeks to provide a diverse working environment in libraries across the United States Ways to change the status quo include diversifying the job field with regards to age class disabilities ethnicity gender identity race sex and sexual orientation The demographics of America are changing those who were once minorities will become the majority Library facilities can best represent their communities by hiring diverse staffs The American Library Association and many libraries around the country realize the issue of diversity in the workplace and are addressing this problem"
"Social Sciences","In time some ideas from these experiments and paradigm challenges may be adopted as the norm in education just as Friedrich Fröbel's approach to early childhood education in th century Germany has been incorporated into contemporary kindergarten classrooms Other influential writers and thinkers have included the Swiss humanitarian Johann Heinrich Pestalozzi the American transcendentalists Amos Bronson Alcott Ralph Waldo Emerson and Henry David Thoreau the founders of progressive education John Dewey and Francis Parker and educational pioneers such as Maria Montessori and Rudolf Steiner and more recently John Caldwell Holt Paul Goodman Frederick Mayer George Dennison and Ivan Illichcitation needed"
"Social Sciences","Instruction is the facilitation of another's learning Instructors in primary and secondary institutions are often called teachers and they direct the education of students and might draw on many subjects like reading writing mathematics science and history Instructors in post secondary institutions might be called teachers instructors or professors depending on the type of institution and they primarily teach only their specific discipline Studieswhich from the United States suggest that the quality of teachers is the single most important factor affecting student performance and that countries which score highly on international tests have multiple policies in place to ensure that the teachers they employ are as effective as possible With the passing of NCLB in the United States No Child Left Behind teachers must be highly qualified"
"Social Sciences","over generality Related to quality While methods may be classified as quantitative or qualitative most methods contain elements of both For example qualitative"
"Social Sciences","Wardī ʻalī June A sociological analysis of Ibn Khaldun's theory a study in the sociology of knowledge"
"Social Sciences","Lorenz von Stein an German professor from Vienna is considered the founder of the science of public administration in many parts of the world In the time of Von Stein public administration was considered a form of administrative law but Von Stein believed this concept too restrictive Von Stein taught that public administration relies on many preestablished disciplines such as sociology political science administrative law and public finance He called public administration an integrating science and stated that public administrators should be concerned with both theory and practice He argued that public administration is a science because knowledge is generated and evaluated according to the scientific method"
"Social Sciences","Records are specialized forms of information Essentially records are information produced consciously or as by products of business activities or transactions and retained because of their value Primarily their value is as evidence of the activities of the organization but they may also be retained for their informational value Sound records management ensures that the integrity of records is preserved for as long as they are required"
"Social Sciences","Sociological reasoning predates the foundation of the discipline Social analysis has origins in the common stock of Western knowledge and philosophy and has been carried out from as far back as the time of ancient Greek philosopher Plato if not beforecitation needed The origin of the survey the collection of information from a sample of individuals can be traced back to at least the Domesday Book in while ancient philosophers such as Confucius wrote about the importance of social roles There is evidence of early sociology in medieval Arab writings Some sources consider Ibn Khaldun a th century Arab Islamic scholar from North Africa Tunisia to have been the first sociologist and the father of sociology see Branches of the early Islamic philosophy his Muqaddimah was perhaps the first work to advance social scientific reasoning on social cohesion and social conflict"
"Social Sciences","outside intervention should be conditional on an impact assessment of national capacities at various levels "
"Social Sciences","Religious ethnic and secessionist groups Viewing these aspects of the sub unit level has explanatory power with regards to ethnic conflicts religious wars transnational diaspora diaspora politics and other actors which do not consider themselves to fit with the defined state boundaries This is particularly useful in the context of the pre modern world of weak states"
"Social Sciences","The problem of subjectivity and objectivity can be divided into two parts a concern over the general possibilities of social actions and the specific problem of social scientific knowledge In the former the subjective is often equated though not necessarily with the individual and the individual's intentions and interpretations of the objective The objective is often considered any public or external action or outcome on up to society writ large A primary question for social theorists is how knowledge reproduces along the chain of subjective objective subjective that is to say how is intersubjectivity achieved  While historically qualitative methods have attempted to tease out subjective interpretations quantitative survey methods also attempt to capture individual subjectivities Also some qualitative methods take a radical approach to objective description in situ"
"Social Sciences","Lueschen G Sociology of Sport Development Present State and ProspectsAnnual Review of Sociology –"
"Social Sciences","Feminist theorists such as Juliet Mitchell Nancy Chodorow Jessica Benjamin Jane Gallop Bracha L Ettinger Shoshana Felman Griselda Pollock Luce Irigaray and Jane Flax have developed a Feminist psychoanalysis and argued that psychoanalytic theory is vital to the feminist project and must like other theoretical traditions be criticized by women as well as transformed to free it from vestiges of sexism ie being censored Shulamith Firestone inThe Dialectic of Sexcalls Freudianism the misguided feminism and discusses how Freudianism is almost completely accurate with the exception of one crucial detail everywhere that Freud writespenis the word should be replaced withpower"
"Social Sciences","Often information can be viewed as a type of input to an organism or system Inputs are of two kinds some inputs are important to the function of the organism for example food or system energy by themselves In his book Sensory Ecology biophysicist David B Dusenbery called these causal inputs Other inputs information are important only because they are associated with causal inputs and can be used to predict the occurrence of a causal input at a later time and perhaps another place Some information is important because of association with other information but eventually there must be a connection to a causal input"
"Social Sciences","In ancient Greece this can be found in the writings of Herodotus Thucidides Hippocrates Epicurus Protagoras Polus Plato and Aristotle In Rome writers and philosophers like Cicero Seneca Pliny the elder Marcus Aurelius Epictetus Cato and Columella also expressed important ideas on this ground"
"Social Sciences","Semantic Conceptions of Information Review by Luciano Floridi for the Stanford Encyclopedia of Philosophy"
"Social Sciences","The latter concern with scientific knowledge results from the fact that a sociologist is part of the very object they seek to explain Bourdieu puts this problem rather succinctly peacock term"
"Social Sciences","Scott Joan W February Gender and the Politics of History nd Revised ed Columbia University Press ISBN "
"Social Sciences","Hanson Barbara Whither Qualitative Quantitative  Grounds for Methodological ConvergenceQuality and Quantity doi s "
"Social Sciences","The Programme for International Student Assessment and the International Association for the Evaluation of Educational Achievement objectively monitor and compare the proficiency of students from a wide range of different nations"
"Social Sciences","Dorn Harold The Geography of Science Johns Hopkins University Press ISBN The geography of science"
"Social Sciences","Gender studies programs were banned in Hungary in October In a statement released by Hungarian Prime Minister Viktor Orbán's office a spokesperson stated thatThe government's standpoint is that people are born either male or female and we do not consider it acceptable for us to talk about socially constructed genders rather than biological sexesThe ban has attracted criticism from several European universities which offer the program among them the Budapest based Central European University whose charter was revoked by the government and is widely seen as part of the Hungarian ruling party's move towards totalitarianism"
"Social Sciences","The Chicago school arose in the early twentieth century through the work of Robert E Park Ernest Burgess and other urban sociologists at the University of Chicago In the s Park and Burgess identified five concentric zones that often exist as cities grow including thezone of transition which was identified as the most volatile and subject to disorder In the s Henry McKay and Clifford R Shaw focused on juvenile delinquents finding that they were concentrated in the zone of transition The Chicago School was a school of thought developed that blames social structures for human behaviors This thought can be associated or used within criminology because it essentially takes the stance of defending criminals and criminal behaviors The defense and argument lies in the thoughts that these people and their acts are not their faults but they are actually the result of society ie unemployment poverty etc and these people are actually in fact behaving properly"
"Social Sciences","As a level of analysis the unit level is often referred to as the state level as it locates its explanation at the level of the state rather than the international system"
"Social Sciences","Bachelor of Social Work BSW Bachelor of Arts BA in Social Work Bachelor of Science in Social Work BSc or a Postgraduate Diploma in Social Work PGDipSW for general practice Master of Social Work MSW Master of Science in Social Work MSSW for clinical practice Doctorate of Social Work DSW or Professional Doctorate ProfD or DProf for or specialized practice To be a social worker one must receive a degree from a university that has been accredited by the Counsel of Social Work Education CSWEcitation needed Registration and licensing differs depending on state"
"Social Sciences","Shields Patricia Pragmatism as a Philosophy of Science A Tool for Public Administration Research in Public Administration Vol p"
"Social Sciences","The infant mortality rate the annual number of deaths of children less than year old per live births"
"Social Sciences","Warren Farrell Robert Bly Cassie Jaye Michael Messner Michael Kimmel"
"Social Sciences","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Social Sciences","Semantics is concerned with the meaning of a message conveyed in a communicative act Semantics considers the content of communication Semantics is the study of the meaning of signs the association between signs and behaviour Semantics can be considered as the study of the link between symbols and their referents or concepts particularly the way that signs relate to human behavior"
"Social Sciences","Al Idrisi Arabic أبو عبد الله محمد الإدريسي Latin Dreses – author of Nuzhatul Mushtaq"
"Social Sciences","In the mid th century criminology arose as social philosophers gave thought to crime and concepts of law Over time several schools of thought have developed There were three main schools of thought in early criminological theory spanning the period from the mid th century to the mid twentieth century Classical Positivist and Chicago These schools of thought were superseded by several contemporary paradigms of criminology such as the sub culture control strain labeling critical criminology cultural criminology postmodern criminology feminist criminology and others discussed below"
"Social Sciences","Find sources Education– news · newspapers · books · scholar · JSTOR December Learn how and when to remove this template message"
"Social Sciences","In the United Kingdom just over half of social workers are employed by local authorities and many of these are represented by UNISON the public sector employee union Smaller numbers are members of the Unite the Union and the GMB trade union The British Union of Social Work Employees BUSWE has been a section of the Community trade union since"
"Social Sciences","Butler Judith December Bodies That Matter On the Discursive Limits of 'Sex' New York Routledge ISBN OCLC"
"Social Sciences","Lueschen G Sociology of Sport Development Present State and ProspectsAnnual Review of Sociology –"
"Social Sciences","Buckland M June Information schools a monk library science and the information age Retrieved from http peopleischoolberkeleyedu ~buckland huminfopdf"
"Social Sciences","Eric Alden Smith and Shankar Aswani eds Environmental Social Sciences Methods and Research Design Cambridge UK and New York Cambridge University"
"Social Sciences","Intelligence is an important factor in how the individual responds to education Those who have higher intelligence tend to perform better at school and go on to higher levels of education This effect is also observable in the opposite direction in that education increases measurable intelligence Studies have shown that while educational attainment is important in predicting intelligence in later life intelligence at is more closely correlated to intelligence at years old than to educational attainment"
"Social Sciences","Within the United States of America there are three general classifications and rankings of murder The first is first degree murder which is committed with premeditation and deliberation meaning that the offender thought about and planned Second degree murder refers to a murder that is not premeditated or deliberated Felony murder refers to a murder that occurs in correspondence with another felony such as a robbery"
"Social Sciences","Bureaucratic politics Looks at the role of the bureaucracy in decision making and sees decisions as a result of bureaucratic in fighting and as having been shaped by various constraints"
"Social Sciences","Emblidge D 'Bibliomany has possessed me' Thomas Jefferson the booksellers' customer extraordinaireThe International Journal of the Book doi CGP vi "
"Social Sciences","Shackman GeneWhat Is Program Evaluation A Beginner's GuideThe Global Social Change Research Project SSRN"
"Social Sciences","Jonathan H Turner The Structure of Sociological Theory PDF Fifth ed Belmont CA Wadsworth Publishing Company Retrieved December page needed"
"Social Sciences","Main articles Sociology of knowledge Sociology of scientific knowledge Sociology of the history of science and Sociology of science"
"Social Sciences","Direct data comes from vital statistics registries that track all births and deaths as well as certain changes in legal status such as marriage divorce and migration registration of place of residence In developed countries with good registration systems such as the United States and much of Europe registry statistics are the best method for estimating the number of births and deaths"
"Social Sciences","François Modoux,La Suisse engagera millions pour rénover le Palais des Nations Le Temps Friday June page in French"
"Social Sciences","The United Kingdom has a series of four national birth cohort studies the first three spaced apart by years the National Survey of Health and Development the National Child Development Study the British Cohort Study and the Millennium Cohort Study begun much more recently in These have followed the lives of samples of people typically beginning with around in each study for many years and are still continuing As the samples have been drawn in a nationally representative way inferences can be drawn from these studies about the differences between four distinct generations of British people in terms of their health education attitudes childbearing and employment patterns"
"Social Sciences","Science studies is an interdisciplinary research area that seeks to situate scientific expertise in broad social historical and philosophical contexts It uses various methods to analyze the production representation and reception of scientific knowledge and its epistemic and semiotic role"
"Social Sciences"," American Founders | The Heritage FoundationHeritageorg Archived from the original on Retrieved "
"Social Sciences","Multicides or the murder of multiple people can be broken down into three different classifications mass murder spree murder and serial murder"
"Social Sciences","Competencies Improving the social environment and well being of people by facilitating and developing resources"
"Social Sciences","Alvarez Alex November Violence the enduring problem Bachman Ronet Third ed Los Angeles ISBN OCLC"
"Social Sciences","Turner Francis J Canadian Encyclopedia of Social Work Waterloo ON Wilfrid Laurier University Press ISBN  OCLC"
"Social Sciences","This article is about the discipline For the journal see Demography journal For the album by Volt see Demography album"
"Social Sciences","a b Andrade R & Rivera A Developing a Diversity Competent Workforce The UA Libraries’ Experience Journal of Library Administration –"
"Social Sciences","In Switzerland the University of Geneva and the Swiss Graduate School of Public Administration IDHEAP"
"Social Sciences","Preservation librarians most often work in academic libraries Their focus is on the management of preservation activities that seek to maintain access to content within books manuscripts archival materials and other library resources Examples of activities managed by preservation librarians include binding conservation digital and analog reformatting digital preservation and environmental monitoring"
"Social Sciences","Wardī ʻalī June A sociological analysis of Ibn Khaldun's theory a study in the sociology of knowledge"
"Social Sciences","Ball MatthewQueer Criminology as ActivismCritical Criminology  Web April"
"Social Sciences","Dyvik Synne L Jan Selby and Rorden Wilkinson eds What's the Point of International Relations"
"Social Sciences"," British Sociological Association Medical SociologyBSA Archived from the original on June Retrieved October"
"Social Sciences","Paul R Goldin p Persistent Misconceptions about Chinese Legalism https wwwacademiaedu Persistent Misconceptions about Chinese Legalism "
"Social Sciences"," African nations embrace e learning says new reportPC Advisor October Retrieved October"
"Social Sciences","International Relationsredirects here For the academic journal see International Relations journal"
"Social Sciences","This was accompanied by a less easily defined movement the development of institutions to deal with the entire range of social problems All had their most rapid growth during the nineteenth century and laid the foundation basis for modern social work both in theory and in practice"
"Social Sciences","Smith Vincent Arthur October The Jain Teachers of AkbarBhandarkar Oriental Research Institute via Google Books"
"Social Sciences","Bodleian LibrariesPolitical ScienceLibGuides United Kingdom University of Oxford Archived from the original on February Retrieved February"
"Social Sciences","Even though cultural studies developed much more rapidly in the UK than in continental Europe there is significant cultural studies presence in countries such as France Spain and Portugal The field is relatively undeveloped in Germany probably due to the continued influence of the Frankfurt School which is now often said to be in its third generation which includes notable figures such as Axel Honneth Cultural studies journals based in continental Europe include the European Journal of Cultural Studies the Journal of Spanish Cultural Studies French Cultural Studies and Portuguese Cultural Studies"
"Social Sciences","Hall StuartCultural Studies Two ParadigmsMedia Culture and Society "
"Social Sciences","Programs at ISCED level lower secondary education are usually organized around a more subject oriented curriculum differing from primary education Teachers typically have pedagogical training in the specific subjects and more often than at ISCED level a class of students will have several teachers each with specialized knowledge of the subjects they teach Programmes at ISCED level aim is to lay the foundation for lifelong learning and human development upon introducing theoretical concepts across a broad range of subjects which can be developed in future stages Some education systems may offer vocational education programs during ISCED level providing skills relevant to employment"
"Social Sciences","This article incorporates text from a free content work License statement Cracking the code girls' and women's education in science technology engineering and mathematics STEM UNESCO To learn how to add open license text to Wikipedia articles please see this how to page For information on reusing text from Wikipedia please see the terms of use"
"Social Sciences","Preceding the concepts of interdependence and dependence international relations relies on the idea of sovereignty Described in Jean Bodin'sSix Books of the Commonwealthin the three pivotal points derived from the book describe sovereignty as being a state that the sovereign powers have absolute power over their territories and that such a power is only limited by the sovereign'sown obligations towards other sovereigns and individualsSuch a foundation of sovereignty permits is indicated by a sovereign's obligation to other sovereigns interdependence and dependence to take place While throughout world history there have been instances of groups lacking or losing sovereignty such as African nations prior to Decolonization or the occupation of Iraq during the Iraq War there is still a need for sovereignty in terms of assessing international relations"
"Social Sciences","Richards M Sacker A Lifetime Antecedents of Cognitive ReserveJournal of Clinical and Experimental Neuropsychology doi jcen PMID"
"Social Sciences","The United Nations Secretariat Building at the United Nations headquarters in New York City"
"Social Sciences"," Relative Deprivation definition | Psychology Glossary | alleydogcomwwwalleydogcom Retrieved December"
"Social Sciences","Some theories propose that all individuals benefit from a variety of learning modalities while others suggest that individuals may have preferred learning styles learning more easily through visual or kinesthetic experiences A consequence of the latter theory is that effective teaching should present a variety of teaching methods which cover all three learning modalities so that different students have equal opportunities to learn in a way that is effective for them Guy Claxton has questioned the extent that learning styles such as Visual Auditory and KinestheticVAK are helpful particularly as they can have a tendency to label children and therefore restrict learning Recent research has argued,there is no adequate evidence base to justify incorporating learning styles assessments into general educational practice"
"Social Sciences","Compare Siegel Larry J January Criminology Theories Patterns and Typologies ed Cengage Learning published p ISBN Retrieved May The work of Lombroso and his contemproraries is regarded today as a historical curiosity not scientific fact Strict biological determinism is no longer taken seriously later in his career even Lombroso recognized that not all criminals were biological throwbacks Early biological determinism has been discredited because it is methodologically flawed most studies did not use control groups from the general population to compare results a violation of the scientific method"
"Social Sciences","Ettinger Bracha L September The Red Cow EffectIn Howe Mica Aguiar Sarah A eds He Said She Says An RSVP to the Male Text Fairleigh Dickinson University Press pp ISBN OCLC"
"Social Sciences","Why LGBT citizens are incarcerated and if or why they are arrested at higher rates than heterosexual and cisgender individuals"
"Social Sciences","Interest group theory posits that the driving force behind state behaviour is sub state interest groups Examples of interest groups include political lobbyists the military and the corporate sector Group theory argues that although these interest groups are constitutive of the state they are also causal forces in the exercise of state power"
"Social Sciences","Des Manuscrits de Sieyès Volumes I and II published by Christine Fauré Jacques Guilhaumou Jacques Vallier and Françoise Weil Paris Champion and See also Christine Fauré and Jacques Guilhaumou Sieyès et le non dit de la sociologie du mot à la chose in Revue d'histoire des sciences humaines Numéro novembre Naissances de la science sociale See also the article 'sociologie' in the French language Wikipedia"
"Social Sciences","Guglielmo Rinzivillo La scienza e l'oggetto autocritica del sapere strategico Milano Angeli pp + ISBN OCLC"
"Social Sciences"," American Indian Library Association Working to improve library and information services for American Indiansailanetorg"
