% Title Citation Classification
 % 
 % Sources 
 % a Creator Lucas Lopes Resende
 % b Donor USPTO
 % c Date April, 
 % 
 @RELATION Patent
@ATTRIBUTE citation String
@ATTRIBUTE class {"General Science & Technology","Physics & Astronomy","Social Sciences","Enabling & Strategic Technologies","Built Environment & Design","Biology","Information & Communication Technologies","Agriculture, Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Engineering","Clinical Medicine","Chemistry","Economics & Business ","Biomedical Research"}
@DATA
" jin hai et al live virtual machine migration with adaptive memory compression services computing technology and system lab cluster and grid computing lab school of computer science and technology huazhong university of science and technology wuhan china dec pages http grid hust edu cn wusong file cluster' pdf","Information & Communication Technologies"
"mukherjee net al high volume diagnosis in memory bist based on compressed failure data ieee transactions on computer aided design of integrated circuits and systems vol no mar ","Information & Communication Technologies"
" guerreiro igor et al a distributed aroach to precoder selection using factor graphs for wireless communication networks eurasip journal on advances in signal processing vol no springer apr s","Information & Communication Technologies"
" paynter et al alying machine learning to programming by demonstration in journal of experimental & theoretical artificial intelligence vol issue jul ","Information & Communication Technologies"
" yu a et al a dual band millimeter wave cmos oscillator with left handed resonator ieee transactions on microwave theory and techniques vol no may ","Information & Communication Technologies"
" pnix robert editing by example in journal of acm transactions on programming languages and systems vol issue oct ","Information & Communication Technologies"
" zhourong miao et al proxy caching for efficient video services over the internet integrated media systems center signal and image processing institute department of electrical engineering systems university of southern california los angeles ca[downloaded from the internet on apr http sipi usc edu about ortega papers pvw miao pdf]","Information & Communication Technologies"
" satsiou anna et al impact of frequency based cache management policies on the performance of segment based video caching proxies networking networking technologies services and protocols performance of computer and communication networks mobile and wireless communications lecture notes in computer science springer verlag berlin heidelberg xp isbn ","Information & Communication Technologies"
"abed et al intrusion detection system for alications using linux containers dec vol of the series of lecture notes in computer science","Information & Communication Technologies"
" kazienko p musial k kajdanowicz t multidimensional social network in the social recommender systemieee transactions on systems man and cybernetics part a systems and humans vol issue ","Information & Communication Technologies"
" buczak et al a data driven epidemiological prediction method for dengue outbreaks using local and remote sensing data bmc medical informatics and decision making biomed central ltd","Information & Communication Technologies"
" ficara et al an improved dfa for fast regular expression matching acm sigcomm computer communication review vol no oct ","Information & Communication Technologies"
" scheirer w et al toward open set recognition ieee transactions on pattern analysis and machine intelligence vol no jul ","Information & Communication Technologies"
" jain pet al accurate current estimation for interconnect reliability analysis ieee transactions on very large scale integration systems vol no sep ","Information & Communication Technologies"
" rowley het al neural network based face detection ieee transactions on pattern analysis and machine intelligence ","Information & Communication Technologies"
" finsterle s et al tough model use calibration and validation american society of agricultural and biological engineers vol issue ","Agriculture, Fisheries & Forestry"
" gorshkov et al shape selection in diffusive growth of colloids and nanoparticles langmuir article american chemical society s","Agriculture, Fisheries & Forestry"
" walter et al mastering the shape and composition of dendronized ironoxide nanoparticles to tailor magnetic resonance imaging and hyperthermia american chemical society ","Agriculture, Fisheries & Forestry"
" ponchon jean et al pon test systems from theory to field deployments optical society of america mar ","Agriculture, Fisheries & Forestry"
" zhou shian et al divided pulse amplification of ultrashort pulses optical society of america optic letters vol no apr ","Agriculture, Fisheries & Forestry"
" larson et al corn production in corn and corn improvement g fsprague ed no in agronomy series american society of agronomy inc madison wisconsin ","Agriculture, Fisheries & Forestry"
" sprague et al corn breeding in corn and corn improvements g fsprague ed no in agronomy series american society of agronomy inc madison wisconsin ","Agriculture, Fisheries & Forestry"
" fukumoto kenta masahiro yoshizawa and hiroyuki ohno room temperature ionic liquids from natural amino acids journal of the american chemical society ","Agriculture, Fisheries & Forestry"
" ping et al dt is a gain of function mads domain factor gene that specifies semideterminacy in soybean the plant cell publication online american society of plant biologists online","Agriculture, Fisheries & Forestry"
"slater et al multiple beta ketothiolases mediate poly beta hydroxyalkanoate copolymer synthesis in ralstonia eutropha journal of bacteriology american society for microbiology us vol no apr ","Agriculture, Fisheries & Forestry"
" yodh spatially varying dynamical properties of turbid media probed with diffusing temporal light correlation journal of the optical society of america a jan ","Agriculture, Fisheries & Forestry"
" garcia parra et al alication of innovative technologies moderate intensity pulsed electric fields and high pressure thermal treatment to preserve and or improve the bioactive compounds content of pumpkin journal of innovative food science and emerging technologies vol ","Agriculture, Fisheries & Forestry"
" zhan lin et al lithium sulfer batteries from liquid to solid cells? department of chemical & biological engineering zhejiang university hangzhou zhejiang china center for nanophase materials sciences oak ridge national laboratory oak ridge tn usa","Agriculture, Fisheries & Forestry"
" mcinerney et al effects of high pressure processing on antioxidant activity and total carotenoid content and availability in vegetables journal of innovative food science and emerging technologies vol ","Agriculture, Fisheries & Forestry"
" perfect f h aluminothermic chromium and chromium alloys low in nitrogen american society for metals and the metallurgical society of aime vol b sep ","Agriculture, Fisheries & Forestry"
" mallory et al electroless plating fundamentals and alications orlando american electroplaters and surface finishes society isbn ","Agriculture, Fisheries & Forestry"
" nikitin p et al power reflection coefficient analysis for complex impedances in rfid tag design ieee transactions on microwave theory and techniques sep vol no digital object identifier tmtt ieee us","Agriculture, Fisheries & Forestry"
" iron an inter robot network and three examples on multiple mobile robots' motion coordination mrude et al intelligent robot laboratory institute of information science and electronics university of tsukuba s ","Agriculture, Fisheries & Forestry"
" garcia parra et al alication of innovative technologies moderate intensity pulsed electric fields and high pressure thermal treatment to preserve and or improve the bioactive compounds content of pumpkin innovative food science and emerging technologies vol ","Agriculture, Fisheries & Forestry"
" mikhail yerezin et al two photon optical properties of near infrared dyes at mu m excitation the journal of physical chemistry acs publications copyright american chemical society dx doi org jp ejphyschemb total s ","Agriculture, Fisheries & Forestry"
" songqing chen et al segment based proxy caching for internet streaming media delivery department of computer science george mason university ieee computer society [downloaded from the internet on apr http www cse ohio state edu hpcs www html publications pa pers tr pdf]","Agriculture, Fisheries & Forestry"
" xiong y cai h wiley bj wang j kim mj xia y synthesis and mechanistic study of palladium nanobars and nanorodsjournal of the american chemical society ","Agriculture, Fisheries & Forestry"
" science & society picture library zoetrope website http www scienceandsociety co uk dec ","Agriculture, Fisheries & Forestry"
" yang et al a cloud architecture based on smart home second international workshop on education technology and computer science etcs vol mar ieee computer society doi etcs ","Agriculture, Fisheries & Forestry"
" peng hc xie s park j xia x xia y quantitative analysis of the coverage density of br ions on pd{ } facets and its role in controlling the shape of pd nanocrystalsjournal of the american chemical society ","Agriculture, Fisheries & Forestry"
" eisele dm berlepsch hv bottcher c stevenson kj vanden bout da kirstein s rabe jp photoinitiated growth of sub nm silver nanowires within a chemically active organic nanotubular templatejournal of the american chemical society ","Agriculture, Fisheries & Forestry"
"boyer stanton l et al analytical method for nonionic surfactants in laboratory biodegradation and environmental studies environmental science & technology dec vol no ","Agriculture, Fisheries & Forestry"
" greff r a et al a colorimetric method for the determination of parts million of nonionic surfactants the journal of the american oil chemists' society mar vol ","Agriculture, Fisheries & Forestry"
" barberoglou et al electrowetting properties of micro nanostructured black silicon langmuir article published on web jul doi la u copyrgt american chemical society","Agriculture, Fisheries & Forestry"
" sievert dawn m et al antimicrobial resistant pathogens associated with healthcare associated infections summary of data reported to the national healthcare safety network at the centers for disease control and prevention infection control & hospital epidemiology ","Public Health & Health Services"
" george et al acetone isopropanol and butanol production by clostridium beijerinckii synclostridium butylicum and clostridium aurantibutyricum alied and environmental microbiology mar p ","Earth & Environmental Sciences"
" lee et al metabolic engineering of clostridium acetobutylicum atcc for isopropanol butanol ethanol fermentation alied and environmental microbiology mar p ","Earth & Environmental Sciences"
" information sciences institute university of southern california internet protocol darpa internet program protocol specification https tools ietf org html rfc s sep ","Earth & Environmental Sciences"
" li et al a permanent borehole fiber optic distributed acoustic sensing experiment seg technical program expanded abstracts aug xp ","Earth & Environmental Sciences"
" fschaub zma and fkargl privacy requirements in vehicular communication systems in procof the international conference on computational science and engineering vol ieee ","Engineering"
" li m and kumar r recursive modeling of stateflow as input output extended automaton ieee transactions on automation science and engineering vol no oct ","Engineering"
" beyen et al aircraft autolander safety analysis trhough optimal control based reach set computation journal of guidance control and dynamics vol issue jan feb ","Engineering"
"milliken r j et al full on chip cmos low dropout voltage regulator ieee transactions on circuits and systems i regular papers vol no sep ","Engineering"
" wittmar alexandra and mathias ulbricht dispersions of various titania nanoparticles in two different ionic liquids industrial & engineering chemistry research ","Engineering"
" david lamb et al sparse cic filters a hardware efficient class of digital filters for decimation and interpolation ieee transactions on circuits and systems ii express briefs signal processing lab electronic systems engdepartment university of sao paulo brazil s","Engineering"
" berndt et al using dynamic time warping to find patterns in time series aaa technical report ws workshop on knowledge discovery in databases ","Engineering"
" yu z towards high performance and energy efficient multi core processors analog circuits and signal processing chapter vol ","Engineering"
" perfect fh metallothermic reduction of oxides in water cooled coer furnaces transactions of the metallurgical society of aime sep vol no american institute of mining metallurgical and petroleum engineers inc new york","Engineering"
" alvarez neta deduplication for fas and v series deployment and implementation guide technical reporttr ","Engineering"
" tuan s et al research for rfid tag implementation in vehicle environments progress in electromagnetics research symposium proceedings mar five s","Engineering"
"guo et al fiber optic sensors for structural health monitoring of air platforms sensors mar ","Engineering"
" yu zhiyi towards high performance and energy efficient multi core processors chapter analog circuits and signal processing vol copyrgtspringer science+business media b v ","Engineering"
" chou c et al electrodeless dielectrophoresis for micro total analysis systems ieee engineering in medicine and biology magazinenov dec ","Engineering"
" zhou let al virtual machine scheduling for parallel soft real time alications proceedings of the ieee st international symposium on modelling analysis & simulation of computer and telecommunication systems aug s","Engineering"
"castaldo et al target tracking using factor graphs and multi camera systems ieee transactions on aerospace and electronic systems ieee service center piscataway nj uscol no jul ","Engineering"
" jain et al an analysis of cloud model based security for computing secure cloud bursting and aggregation in real environment international journal of advanced computer research issn print issn online vol no sep <http theaccents org ijacr papers sep sub pdf>","Engineering"
"hermes et al fabrication of microfluidic networks with integrated electrodes microsystem technologies micro and nanosystems information storage and processing systems springer berlin de vol no apr ","Engineering"
" mieloszyk m et al alication of fibre bragg grating sensors for structural health monitoring of an adaptive wing smart materials ad structures vol no nov xp abstract","Engineering"
"zhuan et al optimal scheduling and control of heavy haul trains equied with electronically controlled pneumatic braking systems ieee transactions on control systems technology vol no nov s","Engineering"
" hsieh et al local and systemic cardiovascular effects from monochromatic infrared therapy in patients with knee osteoarthritis a double blind randomized placebo controlled study evidence based complementary and alternative medicine vol s","Clinical Medicine"
" ke yet al effects of somatothermal far infrared ray on primary dysmenorrhea a pilot study evidence based complementary and alternative medicine vol article id doi ","Clinical Medicine"
" crockhv anterior lumbar interbody fusion clinical orthopaedics & related research marshall rurist editor in chief jbliincott company ","Clinical Medicine"
" zhang yanqiang et al dual amino functionalised phosphonium ionic liquids for co capture chemistry a european journal year ","Clinical Medicine"
" duenckel robert j et al a new nuclear method to locate proant placement in induced fractures spe dgs saudi arabia section technical symposium and exhibitionsociety of petroleum engineers ","Clinical Medicine"
" rocha et al anti live leishmania viannia braziliensis promastigote antibodies detected by flow cytometry to identify active infection in american cutaneous leishmaniasis revista da sociedade brasileira de medicina tropical vol no ","Clinical Medicine"
" magnetic resonance imaging national institute of biomedical imaging and bioengineering https www nibib nih gov science education science topics magnetic reson ance imaging mri last visited mar s","Clinical Medicine"
" pemak et alphosphonium acesulfamate based ionic liquidseuropean journal of organic chemistry ","Clinical Medicine"
"salam g ain american family physician ","Clinical Medicine"
" schectman a din american family physician ","Clinical Medicine"
" trojian et alin american family physician ","Clinical Medicine"
" trojian et alin american family physician year ","Clinical Medicine"
" boulos et al crowdsourcing citizen sensing and sensor web technologies for public and environmental health surveillance and crisis management trends ogc standards and alication examples international journal of health geographics ","Clinical Medicine"
" salam g ain american family physician ","Clinical Medicine"
" crock h vmd anterior lumbar interbody fusion clinical orthopaedics and related research number one hundred sixty five s","Clinical Medicine"
" y cliu et al european journal of medicinal chemistry ","Clinical Medicine"
" meyers et al genetic evidence for role of carotenoids in age related macular degeneration in the carotenoids in age related eye disease study careds investigative ophthalmology & visual science vol no year ","Clinical Medicine"
" swissplus implant system product catalog centerpulse s ","Clinical Medicine"
" tapered swissplus self taing design & double lead threads zimmer dental http www zimmerdental com products implants im_tswpfselftap asp x ","Clinical Medicine"
" crock h v anterior lumbar interbody fusion clinical orthopaedics and related research noone hundred sixty five ","Clinical Medicine"
" crock h vmd anterior lumbar interbody fusion clinical orthopaedics and related research noone hundred sixty five s","Clinical Medicine"
" rifai n rgertzenbiomarker discovery and validationclinical chemistry ","Clinical Medicine"
" stephenson jrunderstanding dengue pathogenesis implications for vaccine designbulletin of world health organization ","Clinical Medicine"
"crowdsourcing citizen sensing and sensor web technologies for public and environmental health surveillance and crisis management trends ogc standards and alication examples kamel boulos et alinternational journal of health geographics maged n kamel boulos et al","Clinical Medicine"
" kamel boulos et al crowdsourcing citizen sensing and sensor web technologies for public and environmental health surveillance and crisis management trends ogc standards and alication examples international journal of health geographics biomed central ltd","Clinical Medicine"
" liu y c et al european journal of medicinal chemistry ","Clinical Medicine"
" zhou et al in train forces from energy efficient driving strategies nd national conference of the australian society for operations research dec s","Clinical Medicine"
" nalali et al neural network meta modeling of steam assisted gravity drainage oil recovery processes iranian journal of chemistry & chemical engineering vol no sep ","Chemistry"
" torres et al quaternary salts of bisazolyl and bisbenzazolylethanes bulletin des societes chimiques belges ","Chemistry"
" zhou feng yongmin liang and weimin liu ionic liquid lubricants designed chemistry for engineering alications chemical society reviews ","Chemistry"
" cummings e et al dielectrophoresis in microchips containing arrays of insulating posts theoretical and experimental results analytical chemistry vol no sep ","Chemistry"
" s y chen et al bioorganic and medicinal chemistry year ","Chemistry"
"tanifum et al novel pyridopyrimidine derivatives as inhibitors of stable toxin a sta induced cgmp synthesis bioorganic & medicinal chemistry letters ","Chemistry"
" jslarson ebradlow and pfader an exploratory look at supermarket shoing paths international journal of research and marketing apr pp ","Economics & Business "
" jslarson ebradlow and pfader an exploratory look at supermarket shoing paths international journal of research and marketing apr ","Economics & Business "
"eric budish et al the high frequency trading arms race frequent batch auctions as a market design response dec s fama miller working paper chicago booth research paper no ","Economics & Business "
" gibson p n stamm hthe use of alloys in prosthetic devicesbusiness briefing medical device manufacturing & technology jun world markets research centre ltdpubls","Economics & Business "
" kuchar et al a review of conflict detection and resolution modeling methods ieee transactions on intelligent transportation systems vol issue dec ","Economics & Business "
"ji et al a crowd evacuation system in emergency situation based on dynamics model springer verlag berlin heidelberg year ","Economics & Business "
" derek greene donal doyle and padraig cunningham tracking the evolution of communities in dynamic social networksin proceedings of the international conference on advances in social networks analysis and mining asonam ' ieee computer society washington dc usa ","Biomedical Research"
" martins filho et al flow cytometry a new aroach to detect anti live trypomastigote antibodies and monitor the efficacy of specific treatment in human chagas' disease clinical and diagnostic laboratory immunology vol no ","Biomedical Research"
" journee et al system for intra operative monitoring of the cortical integrity of the pedicle during pedicle screw placement in low back surgery design and clinical results sensory and neuromuscular diagnostic instrumentation and data analysis i th annual international conference on engineering in medicine and biology society amsterdam ","Biomedical Research"
" journee system for intra operative monitoring of the cortical integrity of the pedicle during pedicle screw placement in low back surgery design and clinical results sensory and neuromuscular diagnostic instrumentation and data analysis i th annual international conference on engineering in medicine and biology society ","Biomedical Research"
" toropov et al qsar models for inhibitors of physiological impact of escherichia colithat leads to diarrhea biochemical and biophysical research communications ","Biomedical Research"
" fouche g cragg g m pillay p kolesnikova n maharaj v j senabe jin vitro anticancer screening of south african plantsjournal of ethnopharmacology v p ","Biomedical Research"
