Numer	Journal	Field
73	Journal of Ecology and Rural Environment	Agriculture, Fisheries & Forestry
74	Journal of environmental quality	Agriculture, Fisheries & Forestry
75	Journal of Food, Agriculture and Environment	Agriculture, Fisheries & Forestry
76	Journal of Plant Nutrition	Agriculture, Fisheries & Forestry
77	Journal of Plant Nutrition and Soil Science	Agriculture, Fisheries & Forestry
78	Journal of Production Agriculture	Agriculture, Fisheries & Forestry
79	Journal of Soils and Water Conservation	Agriculture, Fisheries & Forestry
80	Journal of Sustainable Agriculture	Agriculture, Fisheries & Forestry
81	Journal of Terramechanics	Agriculture, Fisheries & Forestry
82	Journal of the Faculty of Agriculture, Kyushu University	Agriculture, Fisheries & Forestry
83	Land Degradation and Development	Agriculture, Fisheries & Forestry
84	Landbauforschung Volkenrode	Agriculture, Fisheries & Forestry
85	Landnutzung und Landentwicklung	Agriculture, Fisheries & Forestry
86	Listy Cukrovarnicke a Reparske	Agriculture, Fisheries & Forestry
87	New Zealand Journal of Agricultural Research	Agriculture, Fisheries & Forestry
88	Nihon Sakumotsu Gakkai kiji	Agriculture, Fisheries & Forestry
89	NJAS -Wageningen Journal of Life Sciences	Agriculture, Fisheries & Forestry
90	Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering	Agriculture, Fisheries & Forestry
91	Novenytermeles	Agriculture, Fisheries & Forestry
92	Nutrient Cycling in Agroecosystems	Agriculture, Fisheries & Forestry
93	Outlook on agriculture	Agriculture, Fisheries & Forestry
94	Paddy and Water Environment	Agriculture, Fisheries & Forestry
95	Pedobiologia	Agriculture, Fisheries & Forestry
96	Pedosphere	Agriculture, Fisheries & Forestry
97	Pesquisa Agropecuaria Brasileira	Agriculture, Fisheries & Forestry
98	Pflanzenbauwissenschaften	Agriculture, Fisheries & Forestry
99	Plant and Soil	Agriculture, Fisheries & Forestry
100	Plant, soil and environment / Czech Academy of Agricultural Sciences	Agriculture, Fisheries & Forestry
101	Planta Daninha	Agriculture, Fisheries & Forestry
102	Polish Journal of Soil Science	Agriculture, Fisheries & Forestry
103	Precision Agriculture	Agriculture, Fisheries & Forestry
104	Renewable Agriculture and Food Systems	Agriculture, Fisheries & Forestry
105	Revista brasileira de ciencia do solo	Agriculture, Fisheries & Forestry
106	Revista Brasileira de Engenharia Agricola e Ambiental	Agriculture, Fisheries & Forestry
107	Revista Brasileira de fruticultura	Agriculture, Fisheries & Forestry
108	Revista brasileira de sementes = Brazilian seed journal	Agriculture, Fisheries & Forestry
109	Rostlinna Vyroba	Agriculture, Fisheries & Forestry
110	Rural Eco-Environment	Agriculture, Fisheries & Forestry
111	Scientia agricola	Agriculture, Fisheries & Forestry
112	Semina-Ciencias Agrarias	Agriculture, Fisheries & Forestry
113	Soil & Tillage Research	Agriculture, Fisheries & Forestry
114	Soil Biology & Biochemistry	Agriculture, Fisheries & Forestry
115	Soil Science	Agriculture, Fisheries & Forestry
116	Soil Science & Plant Nutrition	Agriculture, Fisheries & Forestry
117	Soil Science Society of America journal. Soil Science Society of America	Agriculture, Fisheries & Forestry
118	Soil Use and Management	Agriculture, Fisheries & Forestry
119	South African Journal of Plant and Soil	Agriculture, Fisheries & Forestry
120	Spanish journal of agricultural research = Revista de investigacion agraria	Agriculture, Fisheries & Forestry
121	Swedish Journal of Agricultural Research	Agriculture, Fisheries & Forestry
122	The Journal of Agricultural Science	Agriculture, Fisheries & Forestry
123	Transactions of the ASAE. American Society of Agricultural Engineers	Agriculture, Fisheries & Forestry
124	Tropical Agriculture	Agriculture, Fisheries & Forestry
125	Tropical Grasslands	Agriculture, Fisheries & Forestry
126	Tropical Science	Agriculture, Fisheries & Forestry
127	Turk Tarim ve Ormancilik Dergisi/Turkish Journal of Agriculture and Forestry	Agriculture, Fisheries & Forestry
128	Weed Biology and Management	Agriculture, Fisheries & Forestry
129	Weed Research	Agriculture, Fisheries & Forestry
130	Weed Science	Agriculture, Fisheries & Forestry
131	Weed Technology	Agriculture, Fisheries & Forestry
132	Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban	Agriculture, Fisheries & Forestry
133	Acta Agriculturae Scandinavica A - Animal Sciences	Agriculture, Fisheries & Forestry
134	Agrarforschung	Agriculture, Fisheries & Forestry
135	Animal : an international journal of animal bioscience	Agriculture, Fisheries & Forestry
136	Animal Feed Science and Technology	Agriculture, Fisheries & Forestry
137	Animal Genetics	Agriculture, Fisheries & Forestry
138	Animal Reproduction Science	Agriculture, Fisheries & Forestry
139	Animal Research	Agriculture, Fisheries & Forestry
140	Animal science (Penicuik, Scotland)	Agriculture, Fisheries & Forestry
141	Animal Science Journal	Agriculture, Fisheries & Forestry
142	Annales de Zootechnie	Agriculture, Fisheries & Forestry
143	Archiv für Geflugelkunde	Agriculture, Fisheries & Forestry
144	Archiv fur Tierzucht	Agriculture, Fisheries & Forestry
145	Archives of Animal Nutrition	Agriculture, Fisheries & Forestry
146	Arquivo brasileiro de medicina veterinaria e zootecnia	Agriculture, Fisheries & Forestry
147	Asian-Australasian journal of animal sciences	Agriculture, Fisheries & Forestry
148	Australian Journal of Dairy Technology	Agriculture, Fisheries & Forestry
149	Avian and Poultry Biology Reviews	Agriculture, Fisheries & Forestry
150	British Poultry Science	Agriculture, Fisheries & Forestry
151	Canadian Journal of Animal Science	Agriculture, Fisheries & Forestry
152	Cell Preservation Technology	Agriculture, Fisheries & Forestry
153	Cuban Journal of Agricultural Science	Agriculture, Fisheries & Forestry
154	Czech Journal of Animal Science	Agriculture, Fisheries & Forestry
155	Dairy Industries International	Agriculture, Fisheries & Forestry
156	Dairy Science & Technology	Agriculture, Fisheries & Forestry
157	Domestic Animal Endocrinology	Agriculture, Fisheries & Forestry
158	Fleischwirtschaft	Agriculture, Fisheries & Forestry
159	Genetics Selection Evolution	Agriculture, Fisheries & Forestry
160	International Dairy Journal	Agriculture, Fisheries & Forestry
161	International Journal of Dairy Science	Agriculture, Fisheries & Forestry
162	International Journal of Dairy Technology	Agriculture, Fisheries & Forestry
163	International journal of poultry science	Agriculture, Fisheries & Forestry
164	International Journal of Sheep and Wool Science	Agriculture, Fisheries & Forestry
165	Irish Journal of Agricultural and Food Research	Agriculture, Fisheries & Forestry
166	Italian journal of animal science	Agriculture, Fisheries & Forestry
167	Journal of animal and feed sciences	Agriculture, Fisheries & Forestry
168	Journal of animal and veterinary advances : JAVA	Agriculture, Fisheries & Forestry
169	Journal of Animal Breeding and Genetics	Agriculture, Fisheries & Forestry
170	Journal of Animal Breeding and Genetics, Supplement	Agriculture, Fisheries & Forestry
171	Journal of Animal Physiology and Nutrition	Agriculture, Fisheries & Forestry
172	Journal of Animal Science	Agriculture, Fisheries & Forestry
173	Journal of applied animal research	Agriculture, Fisheries & Forestry
174	Journal of Applied Poultry Research	Agriculture, Fisheries & Forestry
175	Journal of Dairy Science	Agriculture, Fisheries & Forestry
176	Journal of Muscle Foods	Agriculture, Fisheries & Forestry
177	Kieler Milchwirtschaftliche Forschungsberichte	Agriculture, Fisheries & Forestry
178	Le Lait	Agriculture, Fisheries & Forestry
179	Livestock Production Science	Agriculture, Fisheries & Forestry
180	Livestock Research for Rural Development	Agriculture, Fisheries & Forestry
181	Livestock Science	Agriculture, Fisheries & Forestry
182	Meat Science	Agriculture, Fisheries & Forestry
183	Milchwissenschaft	Agriculture, Fisheries & Forestry
184	Poultry and Avian Biology Reviews	Agriculture, Fisheries & Forestry
185	Poultry science	Agriculture, Fisheries & Forestry
186	Productions Animales	Agriculture, Fisheries & Forestry
187	Reproduction in Domestic Animals	Agriculture, Fisheries & Forestry
188	Reproduction, nutrition, development	Agriculture, Fisheries & Forestry
189	Revista brasileira de ciencia avicola / Fundacao APINCO de Ciencia e Tecnologia Avicolas	Agriculture, Fisheries & Forestry
190	Revista Brasileira de Zootecnia	Agriculture, Fisheries & Forestry
191	Revista Cientifica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia	Agriculture, Fisheries & Forestry
192	Small Ruminant Research	Agriculture, Fisheries & Forestry
193	South African Journal Of Animal Science	Agriculture, Fisheries & Forestry
194	Swine Health and Production	Agriculture, Fisheries & Forestry
195	The Indian journal of animal sciences	Agriculture, Fisheries & Forestry
196	The Indian veterinary journal	Agriculture, Fisheries & Forestry
197	The Journal of dairy research	Agriculture, Fisheries & Forestry
198	The journal of poultry science	Agriculture, Fisheries & Forestry
199	Theriogenology	Agriculture, Fisheries & Forestry
200	Tropical Animal Health and Production	Agriculture, Fisheries & Forestry
201	Turkish Journal of Veterinary and Animal Sciences	Agriculture, Fisheries & Forestry
202	Wool Technology and Sheep Breeding	Agriculture, Fisheries & Forestry
203	World Rabbit Science	Agriculture, Fisheries & Forestry
204	World's poultry science journal	Agriculture, Fisheries & Forestry
205	Zivocisna Vyroba	Agriculture, Fisheries & Forestry
206	Zuchtungskunde	Agriculture, Fisheries & Forestry
207	Acta Ichthyologica et Piscatoria	Agriculture, Fisheries & Forestry
208	Acta Scientiarum - Biological and Health Sciences	Agriculture, Fisheries & Forestry
209	Advances in limnology	Agriculture, Fisheries & Forestry
210	Aquacultural Engineering	Agriculture, Fisheries & Forestry
211	Aquaculture	Agriculture, Fisheries & Forestry
212	Aquaculture Economics & Management	Agriculture, Fisheries & Forestry
213	Aquaculture International	Agriculture, Fisheries & Forestry
214	Aquaculture Nutrition	Agriculture, Fisheries & Forestry
215	Aquaculture Research	Agriculture, Fisheries & Forestry
216	Aquarium Sciences and Conservation	Agriculture, Fisheries & Forestry
217	Aquatic Living Resources	Agriculture, Fisheries & Forestry
218	Archive of Fishery and Marine Research	Agriculture, Fisheries & Forestry
219	BFPP : bulletin francais de la peche et de la protection des milieux aquatiques : bulletin francais de la peche et de la pisciculture	Agriculture, Fisheries & Forestry
220	Bulletin of the European Association of Fish Pathologists	Agriculture, Fisheries & Forestry
221	California Cooperative Oceanic Fisheries, Investigations Reports	Agriculture, Fisheries & Forestry
222	California fish and game	Agriculture, Fisheries & Forestry
223	Canadian Journal of Fisheries and Aquatic Sciences	Agriculture, Fisheries & Forestry
224	Coastal Management	Agriculture, Fisheries & Forestry
225	Cybium	Agriculture, Fisheries & Forestry
226	Diseases of aquatic organisms	Agriculture, Fisheries & Forestry
227	Ecology of Freshwater Fish	Agriculture, Fisheries & Forestry
228	Environmental Biology of Fishes	Agriculture, Fisheries & Forestry
229	Fish and Fisheries	Agriculture, Fisheries & Forestry
230	Fish and Shellfish Immunology	Agriculture, Fisheries & Forestry
231	Fish Pathology	Agriculture, Fisheries & Forestry
232	Fish Physiology	Agriculture, Fisheries & Forestry
233	Fish Physiology and Biochemistry	Agriculture, Fisheries & Forestry
234	Fisheries	Agriculture, Fisheries & Forestry
235	Fisheries Management & Ecology	Agriculture, Fisheries & Forestry
236	Fisheries Oceanography	Agriculture, Fisheries & Forestry
237	Fisheries Research	Agriculture, Fisheries & Forestry
238	Fisheries Science	Agriculture, Fisheries & Forestry
239	Fishery bulletin (Washington, D.C. : 1971)	Agriculture, Fisheries & Forestry
240	ICES Journal of Marine Science: Journal du Conseil (Elsevier)	Agriculture, Fisheries & Forestry
241	Ichthyological Research	Agriculture, Fisheries & Forestry
242	Israeli Journal of Aquaculture - Bamidgeh	Agriculture, Fisheries & Forestry
243	Japanese Journal of Ichthyology	Agriculture, Fisheries & Forestry
244	Journal of Applied Aquaculture	Agriculture, Fisheries & Forestry
245	Journal of Applied Ichthyology	Agriculture, Fisheries & Forestry
246	Journal of aquatic animal health	Agriculture, Fisheries & Forestry
247	Journal of Fish Biology	Agriculture, Fisheries & Forestry
248	Journal of Fish Diseases	Agriculture, Fisheries & Forestry
249	Journal of Great Lakes Research	Agriculture, Fisheries & Forestry
250	Journal of Ichthyology	Agriculture, Fisheries & Forestry
251	Journal of Northwest Atlantic Fishery Science	Agriculture, Fisheries & Forestry
252	Journal of Ocean University of China (English Edition)	Agriculture, Fisheries & Forestry
253	Journal of the World Aquaculture Society	Agriculture, Fisheries & Forestry
254	Marine Fisheries Review	Agriculture, Fisheries & Forestry
255	Marine Policy	Agriculture, Fisheries & Forestry
256	NAFO Scientific Council Studies	Agriculture, Fisheries & Forestry
257	Neotropical ichthyology : official journal of the Sociedade Brasileira de Ictiologia	Agriculture, Fisheries & Forestry
258	Nippon Suisan Gakkai Shi. Bulletin Of The Japanese Society Of Scientific Fisheries	Agriculture, Fisheries & Forestry
259	North American Journal of Aquaculture	Agriculture, Fisheries & Forestry
260	North American Journal of Fisheries Management	Agriculture, Fisheries & Forestry
261	Ocean & Coastal Management	Agriculture, Fisheries & Forestry
262	Progressive Fish-Culturist	Agriculture, Fisheries & Forestry
263	Reviews in Fish Biology and Fisheries	Agriculture, Fisheries & Forestry
264	Reviews in Fisheries Science	Agriculture, Fisheries & Forestry
265	ScienceAsia : journal of the Science Society of Thailand	Agriculture, Fisheries & Forestry
266	Transactions of the American Fisheries Society	Agriculture, Fisheries & Forestry
267	Agro Food Industry Hi-Tech	Agriculture, Fisheries & Forestry
268	American Journal of Food Technology	Agriculture, Fisheries & Forestry
269	British Food Journal	Agriculture, Fisheries & Forestry
270	Cereal chemistry	Agriculture, Fisheries & Forestry
271	Cereal Foods World	Agriculture, Fisheries & Forestry
272	Comprehensive Reviews in Food Science and Food Safety	Agriculture, Fisheries & Forestry
273	Czech Journal of Food Sciences	Agriculture, Fisheries & Forestry
274	Drying Technology	Agriculture, Fisheries & Forestry
275	European Food Research and Technology	Agriculture, Fisheries & Forestry
276	Flavour and Fragrance Journal	Agriculture, Fisheries & Forestry
277	Food Additives & Contaminants: Part A - Chemistry, Analysis, Control, Exposure & Risk Assessment	Agriculture, Fisheries & Forestry
278	Food and Bioproducts Processing	Agriculture, Fisheries & Forestry
279	Food and Chemical Toxicology	Agriculture, Fisheries & Forestry
280	Food Australia	Agriculture, Fisheries & Forestry
281	Food Biophysics	Agriculture, Fisheries & Forestry
282	Food Chemistry	Agriculture, Fisheries & Forestry
283	Food Control	Agriculture, Fisheries & Forestry
284	Food Hydrocolloids	Agriculture, Fisheries & Forestry
285	Food Quality and Preference	Agriculture, Fisheries & Forestry
286	Food Research International	Agriculture, Fisheries & Forestry
287	Food Reviews International	Agriculture, Fisheries & Forestry
288	Food Science and Technology	Agriculture, Fisheries & Forestry
289	Food Science and Technology International	Agriculture, Fisheries & Forestry
290	Food science and technology research	Agriculture, Fisheries & Forestry
291	Food technology	Agriculture, Fisheries & Forestry
292	Innovative Food Science and Emerging Technologies	Agriculture, Fisheries & Forestry
293	International Journal of Food Engineering	Agriculture, Fisheries & Forestry
294	International Journal of Food Properties	Agriculture, Fisheries & Forestry
295	International Journal of Food Science & Technology	Agriculture, Fisheries & Forestry
296	International Journal of Food Sciences and Nutrition (Informa)	Agriculture, Fisheries & Forestry
297	International Sugar Journal	Agriculture, Fisheries & Forestry
298	Italian journal of food science : IJFS = Rivista italiana di scienza degli alimenti	Agriculture, Fisheries & Forestry
299	Journal of Agricultural and Food Chemistry	Agriculture, Fisheries & Forestry
300	Journal of applied botany and food quality = Angewandte Botanik / Vereinigung fur Angewandte Botanik [und] Deutsche Gesellschaft fur Qualitatsforschung	Agriculture, Fisheries & Forestry
301	Journal of Aquatic Food Product Technology	Agriculture, Fisheries & Forestry
302	Journal of Cereal Science	Agriculture, Fisheries & Forestry
303	Journal of Food Biochemistry	Agriculture, Fisheries & Forestry
304	Journal of Food Composition and Analysis	Agriculture, Fisheries & Forestry
305	Journal of Food Engineering	Agriculture, Fisheries & Forestry
306	Journal of Food Process Engineering	Agriculture, Fisheries & Forestry
307	Journal of Food Processing and Preservation	Agriculture, Fisheries & Forestry
308	Journal of Food Science	Agriculture, Fisheries & Forestry
309	Journal of Food Science and Technology	Agriculture, Fisheries & Forestry
310	Journal of Sensory Studies	Agriculture, Fisheries & Forestry
311	Journal of Texture Studies	Agriculture, Fisheries & Forestry
312	Journal of the American Society of Brewing Chemists. American Society of Brewing Chemists	Agriculture, Fisheries & Forestry
313	Journal of the Institute of Brewing. Institute of Brewing (Great Britain)	Agriculture, Fisheries & Forestry
314	Journal of the Japanese Society for Food Science and Technology / Nippon Shokuhin Kagaku Kogaku Kaishi	Agriculture, Fisheries & Forestry
315	Journal of the Science of Food and Agriculture	Agriculture, Fisheries & Forestry
316	Monatsschrift für Brauwissenschaft	Agriculture, Fisheries & Forestry
317	Nahrung / Food	Agriculture, Fisheries & Forestry
318	Starch / Staerke	Agriculture, Fisheries & Forestry
319	The Journal of microwave power and electromagnetic energy : a publication of the International Microwave Power Institute	Agriculture, Fisheries & Forestry
320	Trends in Food Science & Technology	Agriculture, Fisheries & Forestry
321	Zeitschrift fur Lebensmittel-Untersuchung und -Forschung	Agriculture, Fisheries & Forestry
322	Zeitschrift fur Lebensmittel-Untersuchung und -Forschung. A, Food research and technology	Agriculture, Fisheries & Forestry
323	Zuckerindustrie	Agriculture, Fisheries & Forestry
324	Agroforestry Systems	Agriculture, Fisheries & Forestry
325	Allgemeine Forst und Jagdzeitung	Agriculture, Fisheries & Forestry
326	Annales des Sciences Forestieres	Agriculture, Fisheries & Forestry
327	Annals of Forest Science	Agriculture, Fisheries & Forestry
328	Appita Journal	Agriculture, Fisheries & Forestry
329	Arboricultural Journal	Agriculture, Fisheries & Forestry
330	ATIP. Association Technique de L'Industrie Papetiere	Agriculture, Fisheries & Forestry
331	Australian Forestry	Agriculture, Fisheries & Forestry
332	Austrian Journal of Forest Science	Agriculture, Fisheries & Forestry
333	Beijing Linye Daxue Xuebao/Journal of Beijing Forestry University	Agriculture, Fisheries & Forestry
334	Bosque	Agriculture, Fisheries & Forestry
335	Canadian Journal of Forest Research	Agriculture, Fisheries & Forestry
336	Chung-kuo Tsao Chih/China Pulp and Paper	Agriculture, Fisheries & Forestry
337	Commonwealth Forestry Review	Agriculture, Fisheries & Forestry
338	Croatian Journal of Forest Engineering	Agriculture, Fisheries & Forestry
339	Dendrobiology	Agriculture, Fisheries & Forestry
340	Dendrochronologia	Agriculture, Fisheries & Forestry
341	European journal of forest pathology. Journal europeen de pathologie forestiere. Europaische Zeitschrift fur Forstpathologie	Agriculture, Fisheries & Forestry
342	Folia Forestalia Polonica, Series A	Agriculture, Fisheries & Forestry
343	Forest Ecology and Management	Agriculture, Fisheries & Forestry
344	Forest genetics : FG : international journal of forest genetics	Agriculture, Fisheries & Forestry
345	Forest Landowner	Agriculture, Fisheries & Forestry
346	Forest Pathology	Agriculture, Fisheries & Forestry
347	Forest Policy and Economics	Agriculture, Fisheries & Forestry
348	Forest Products Journal	Agriculture, Fisheries & Forestry
349	Forest Science	Agriculture, Fisheries & Forestry
350	Forest Snow and Landscape Research	Agriculture, Fisheries & Forestry
351	Forestry	Agriculture, Fisheries & Forestry
352	Forestry Chronicle	Agriculture, Fisheries & Forestry
353	Forests Trees and Livelihoods	Agriculture, Fisheries & Forestry
354	Forstwissenschaftliches Centralblatt	Agriculture, Fisheries & Forestry
355	Frontiers of Forestry in China	Agriculture, Fisheries & Forestry
356	Holzforschung	Agriculture, Fisheries & Forestry
357	Holzforschung und Holzverwertung	Agriculture, Fisheries & Forestry
358	IAWA journal / International Association of Wood Anatomists	Agriculture, Fisheries & Forestry
359	Indian Forester	Agriculture, Fisheries & Forestry
360	International Forestry Review	Agriculture, Fisheries & Forestry
361	International Journal of Wildland Fire	Agriculture, Fisheries & Forestry
362	International Paperworld IPW	Agriculture, Fisheries & Forestry
363	Internationale Papierwirtschaft IPW	Agriculture, Fisheries & Forestry
364	IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association	Agriculture, Fisheries & Forestry
365	Journal of Arboriculture	Agriculture, Fisheries & Forestry
366	Journal of Bamboo and Rattan	Agriculture, Fisheries & Forestry
367	Journal of Forest Economics	Agriculture, Fisheries & Forestry
368	Journal of Forest Research	Agriculture, Fisheries & Forestry
369	Journal of Forest Science	Agriculture, Fisheries & Forestry
370	Journal of Forestry	Agriculture, Fisheries & Forestry
371	Journal of Forestry Research	Agriculture, Fisheries & Forestry
372	Journal of Pest Science	Agriculture, Fisheries & Forestry
373	Journal of Pulp and Paper Science	Agriculture, Fisheries & Forestry
374	Journal of Sustainable Forestry	Agriculture, Fisheries & Forestry
375	Journal of the Institute of Wood Science	Agriculture, Fisheries & Forestry
376	Journal of Tropical Forest Science	Agriculture, Fisheries & Forestry
377	Journal of Wood Chemistry & Technology	Agriculture, Fisheries & Forestry
378	Journal of Wood Science	Agriculture, Fisheries & Forestry
379	Kami Pa Gikyoshi/Japan Tappi Journal	Agriculture, Fisheries & Forestry
380	Kami,Parupu Gijutsu Taimusu/Japanese Journal of Paper Technology	Agriculture, Fisheries & Forestry
381	Lin ye ke xue yan jiu = Forest research	Agriculture, Fisheries & Forestry
382	Linchan Huaxue Yu Gongye/Chemistry and Industry of Forest Products	Agriculture, Fisheries & Forestry
383	Maderas: Ciencia y Tecnologia	Agriculture, Fisheries & Forestry
384	Material und Organismen	Agriculture, Fisheries & Forestry
385	Mokuzai gakkai shi	Agriculture, Fisheries & Forestry
386	New Forests	Agriculture, Fisheries & Forestry
387	New Zealand Journal of Forestry	Agriculture, Fisheries & Forestry
388	New Zealand Journal of Forestry Science	Agriculture, Fisheries & Forestry
389	Nihon Ringakkai Shi/Journal of the Japanese Forestry Society	Agriculture, Fisheries & Forestry
390	Nordic Pulp and Paper Research Journal	Agriculture, Fisheries & Forestry
391	Northern Journal of Applied Forestry	Agriculture, Fisheries & Forestry
392	Northwest Science	Agriculture, Fisheries & Forestry
393	O Papel (Brazil)	Agriculture, Fisheries & Forestry
394	Palpu Chongi Gisul/Journal of Korea Technical Association of the Pulp and Paper Industry	Agriculture, Fisheries & Forestry
395	Paper Technology	Agriculture, Fisheries & Forestry
396	Paperi ja Puu/Paper and Timber	Agriculture, Fisheries & Forestry
397	Progress in Paper Recycling	Agriculture, Fisheries & Forestry
398	Pulp and Paper	Agriculture, Fisheries & Forestry
399	Pulp and Paper Canada	Agriculture, Fisheries & Forestry
400	Revista Arvore	Agriculture, Fisheries & Forestry
401	Revue Forestiere Francaise	Agriculture, Fisheries & Forestry
402	Scandinavian Journal of Forest Research	Agriculture, Fisheries & Forestry
403	Scientia Forestalis/Forest Sciences	Agriculture, Fisheries & Forestry
404	Silva Fennica	Agriculture, Fisheries & Forestry
405	Silvae genetica	Agriculture, Fisheries & Forestry
406	Southern African Forestry Journal	Agriculture, Fisheries & Forestry
407	Southern Journal of Applied Forestry	Agriculture, Fisheries & Forestry
408	Suo	Agriculture, Fisheries & Forestry
409	Svensk Papperstidning	Agriculture, Fisheries & Forestry
410	Taiwan lin ye ke xue	Agriculture, Fisheries & Forestry
411	Tappi Journal	Agriculture, Fisheries & Forestry
412	Tree-Ring Research	Agriculture, Fisheries & Forestry
413	Trees	Agriculture, Fisheries & Forestry
414	Unasylva	Agriculture, Fisheries & Forestry
415	Urban Forestry & Urban Greening	Agriculture, Fisheries & Forestry
416	USDA Forest Service - General Technical Report PNW	Agriculture, Fisheries & Forestry
417	USDA Forest Service - Research Paper PNW-RP	Agriculture, Fisheries & Forestry
418	Western Journal of Applied Forestry	Agriculture, Fisheries & Forestry
