Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field

Membrane valve for controlling flow and pressure relief,"10,352,473",A61M 39/22 (20130101); F16K 17/16 (20130101); F16K 31/128 (20130101); F16K 7/12 (20130101),"F16K 7/12 (20060101); A61M 39/22 (20060101); F16K 17/16 (20060101); F16K 31/128 (20060101)Vargas Fonseca; Luiz Henrique (Duque de Caxias, BR)",ZAMMI INSTRUMENTAL LTDA,"A membrane valve for controlling flow and pressure relief has a format following the anatomy and the action mechanism of a sphincter, in order not to have restriction points to the fluid flow. The valve includes a body provided with terminal sections provided with ends and, internally, a folded membrane which opens and closes according to the flow and/or pressure exerted therein, directly or indirectly, locally or remotely.",ZAMMI INSTRUMENTAL LTDA,BR,"International Search Report issued in PCT/BR2014/050039 dated Aug. 6, 2015 (2 pages). cited by applicant . Written Opinion of the International Searching Authority issued in PCT/BR2014/050039 dated Aug. 6, 2015 (3 pages). cited by applicant."

Controlling operation of a stem-assisted gravity drainage oil well system by adjusting multiple time step controls,"10,352,142",E21B 41/0092 (20130101); E21B 43/2406 (20130101); G05B 13/048 (20130101),E21B 43/24 (20060101); E21B 41/00 (20060101); G05B 13/04 (20060101); G06F 17/11 (20060101)**Please see images for: ( Certificate of Correction ) **,,"A method for increasing efficiency in emulsion production for a steam-assisted gravity drainage (SAGD) oil well system includes generating a multiple time step model of the SAGD oil well system and training the multiple time step model of the SAGD oil well system utilizing historical time series data relating to one or more SAGD oil wells at one or more SAGD production sites of the SAGD oil well system. The historical time series data is obtained from a plurality of sensors in the SAGD oil well system. The method also includes utilizing the multiple time step model to determine, based on a set of objectives and subject to one or more constraints, two or more sets of values for control parameters associated with one or more of the SAGD production sites of the SAGD oil well system for respective ones of two or more time steps. The method further includes adjusting, in each of the two or more time steps, a set of controls of the SAGD oil well system based on the determined values of the control parameters for the corresponding time step.",,,No other references field

"Hydrolyzable particle compositions, treatment fluids and methods","10,351,762",E21B 43/04 (20130101); C09K 8/82 (20130101); C09K 8/516 (20130101); C09K 8/805 (20130101); C09K 8/70 (20130101); C09K 8/80 (20130101); E21B 43/267 (20130101); C09K 2208/18 (20130101); C09K 2208/10 (20130101),"C09K 8/80 (20060101); E21B 43/267 (20060101); C09K 8/70 (20060101); E21B 43/04 (20060101); C09K 8/516 (20060101); C09K 8/82 (20060101)Loiseau; Anthony (Rio de Janeiro, BR), Chen; Yiyan (Sugar Land, TX), Panga; Mohan Kanaka Raju (Katy, TX)",SCHLUMBERGER TECHNOLOGY CORPORATION,"A composition, treatment fluid and method using hydrolyzable fines. A treatment fluid, which may optionally include a high solids content fluid (HSCF) and/or an Apollonianistic solids mixture, includes a fluid loss control agent comprising a dispersion of hydrolyzable fines, optionally with one or more of a surfactant, plasticizer, dispersant, degradable particles, reactive particles and/or submicron particles selected from silicates, .gamma.-alumina, MgO, .gamma.-Fe2O3, TiO2, and combinations thereof.",SCHLUMBERGER TECHNOLOGY CORPORATION,US,No other references field

Composition for removing organic deposits from oil and gas wells and other subsurface systems and method for removing organic deposits using the remover composition,"10,351,757",C09K 8/524 (20130101); E21B 37/06 (20130101); C07C 15/085 (20130101); C10L 2200/0476 (20130101),"C07C 15/085 (20060101); C09K 8/524 (20060101); E21B 37/06 (20060101)Cezario; Wendel Rodrigues (Itaborai, BR), Menezes; Rodrigo Pio Borges (Rio de Janeiro, BR), Portugal; Pedro Aledi (Rio de Janeiro, BR), De Campos; Rosana Serfaty (Rio de Janeiro, BR), Vieira Lima; Guilherme dos Santos (Niteroi, BR), Da Silva; Plinio Martins Dias (Rio de Janeiro, BR)",PETROLEO BRASILEIRO S.A.-PETROBRAS Cezario; Wendel Rodrigues Menezes; Rodrigo Pio Borges Portugal; Pedro Aledi De Campos; Rosana Serfaty Vieira Lima; Guilherme dos Santos Da Silva; Plinio Martins Dias,"The present invention relates to a method for removing organic deposits from oil and gas wells and other subsystem systems comprising cumene and biodiesel. The invention also relates to a method for removing organic deposits, including the steps for pumping said remover composition through a riser and/or through peripheral pipes of the umbilical and/or production pipe, leaving the composition in contact with the deposit for a sufficient time for removal of at least 50% of such.",PETROLEO BRASILEIRO S.A.-PETROBRAS,BR BR BR BR BR BR BR,"International Search Report for PCT/BR2015/000085, dated Dec. 10, 2015. cited by applicant."

Bendable prosthesis post and angular adjustment method,"10,350,034",A61C 8/0069 (20130101); A61C 8/0053 (20130101); A61C 13/34 (20130101); A61C 19/04 (20130101),"A61C 8/00 (20060101); A61C 13/34 (20060101); A61C 19/04 (20060101)Mittelstadt; Friedrich Georg (Joinville-Santa Catarina, BR), Lippmann; Adalberto (Joinville-Santa Catarina, BR), Lippmann; Bruno (Joinville-Santa Catarina, BR), Hinz; Inco (Joinville-Santa Catarina, BR), Aguilera; Pedro Americo (Joinville-Santa Catarina, BR), Wiggers; William De Souza (Joinville-Santa Catarina, BR)",DENTSCARE LTDA,"A BENDABLE PROSTHETIC ABUTMENT includes a guiding and anchoring segment, a connection zone, for connecting to an implant arranged on a gingival tissue for receiving a prosthetic abutment model, an intermediate restriction for angular orientation, a mounting and fastening portion forming an upper portion of the bendable prosthetic abutment for receiving a prosthesis, and a sacrificial and anchoring zone which has a diameter greater than a diameter of the connection zone so as to define a protuberant ring-shaped shoulder arranged between the intermediate restriction (4) and the connection zone (2) for connecting to an implant and anchoring in a cavity.",DENTSCARE LTDA,BR,No other references field

"Method for treating coffee rust, citrus black spot, citrus scab and banana black sigatoka diseases","10,349,658",A01N 43/56 (20130101); A01N 53/00 (20130101),"A01N 43/56 (20060101); A01N 53/00 (20060101)Labourdette; Gilbert (Paray le Monial, FR), Guerzoni; Rodrigo (Americana /SP, BR)",Bayer CropScience Aktiengesellschaft,"The invention relates to the use of a compound of formula (I) or salts thereof for controlling coffee rust, citrus black spot, citrus scab or banana black sigatoka disease, and to corresponding methods. ##STR00001##",Bayer CropScience Aktiengesellschaft,DE,No other references field

Star shaped driver,"D853,563",,"Thome; Geninho (Curitiba, BR), Mertin; Felix Andreas (Curitiba, BR), Salatti; Rafael Calixto (Curitiba, BR), Lucca; Ilderaldo Jose (Curitiba, BR)",JJGC IND STRIA E COMERCIO DE MATERIAIS DENT ROIS S.A.,"Current U.S. Class: D24/152 Current International Class: 2402 Field of Search: ;D24/152,156,176,146-147,133 ;D8/82-83",JJGC IND STRIA E COMERCIO DE MATERIAIS DENT RIOS S.A.,BR,"125mm Hex Drivers with GemLock Retention. Zimmer Biomet. Retrieved on Jan. 23, 2019. Retrieved from the Internet: https://www.dentalcompare.com/5032-Dental-Implant-Drivers/35297-1-25mm-He- x-Drivers-with-GennLock-Retention/. cited by examiner."

Star shaped driver,"D853,562",,"Thome; Geninho (Curitiba, BR), Mertin; Felix Andreas (Curitiba, BR), Salatti; Rafael Calixto (Curitiba, BR), Lucca; Ilderaldo Jose (Curitiba, BR)",JJGC IND STRIA E COMERCIO DE MATERIAIS DENT RIOS S.A.,"Current U.S. Class: D24/152 Current International Class: 2402 Field of Search: ;D24/152,156,176,146-147,133 ;D8/82-83",JJGC INDUSTRIA E COMERCIO DE MATERIAIS DENT RIOS S.A.,BR,"048 Hex Latch Driver. Salvin Dental Specialties. Retrieved on Jan. 23, 2019. Retrieved from the Internet: https://www.salvin.com/048-Hex-Latch-Driver-pluHN-Latch-Driver.html. cited by examiner."

"Method, base station and a user equipment for selecting a set of beams to be monitored by said UE","10,349,330",H04B 7/0695 (20130101); H04B 17/318 (20150115); H04W 36/0061 (20130101); H04W 36/245 (20130101); H04W 72/046 (20130101); H04W 36/08 (20130101); H04B 7/0619 (20130101); H04W 36/06 (20130101); H04W 36/0085 (20180801); H04W 36/00835 (20180801),"H04W 36/24 (20090101); H04W 36/08 (20090101); H04B 7/06 (20060101); H04B 17/318 (20150101); H04W 36/00 (20090101); H04W 72/04 (20090101); H04W 36/06 (20090101)Guerreiro; Igor Moaco (Fortaleza, BR), Fresia; Maria (Stockholm, SE), Monteiro; Victor Farias (Fortaleza, BR)",Telefonaktiebolaget LM Ericsson (publ),"A method of selecting a set of beams to be monitored by a User Equipment, UE, in a telecommunication network, said telecommunication network comprising a Base Station, BS, function coupled to at least one Access Node, AN, serving said UE, said method comprising the steps of receiving measurement data comprising measurements of qualities of beams observed by said UE, wherein said beams originate from said at least one AN to said UE, and originate from at least another AN in said telecommunication network to said UE, retrieving at least one measurement data from a particular UE that matches the received measurement data, wherein the historical database comprises historical measurement data comprising measurements of qualities of beams observed by UE's in said telecommunication network over time, selecting a set of beams to be monitored by said UE based on said retrieved at least one measurement data from said particular UE and based on subsequent measurement data of said particular UE over time in said historical database, and transmitting said selected set of beams to be monitored to said UE.",Telefonaktiebolaget LM Ericsson (publ),SE,"3GPP, ""3rd Generation Partnership Project; Technical Specification Group Radio Access Network; Study on New Radio Access Technology Physical Layer Aspects (Release 14)"", 3GPP TR 38.802 V14.0.0, Mar. 2017, 1-143. cited by applicant."

Proximity-based peer-to-peer collaborative playlists,"10,348,818",G06Q 30/0267 (20130101); G06Q 30/02 (20130101); G06Q 30/0241 (20130101); H04W 4/21 (20180201); H04W 4/08 (20130101); H04W 4/023 (20130101); H04W 8/005 (20130101); G06Q 30/0277 (20130101); H04W 4/80 (20180201); H04W 80/04 (20130101),"G06F 15/16 (20060101); H04W 4/80 (20180101); H04W 8/00 (20090101); H04L 29/08 (20060101); H04W 80/04 (20090101)Bridges; Matt (Natick, MA), Wright; Logan (Somerville, MA), Daigneault; Mark (Quincy, MA), Fernandes Schmitt; Guilherme (Porto Alegre, BR)",Accenture Global Solutions Limited,"Proximity-based peer-to-peer collaborative playlists over wireless networks are provided. In some embodiments, a first mobile device sends a name for a media playlist to a server. The first mobile device receives from the server a media playlist identifier corresponding to the media playlist. The first mobile device sends a wireless advertisement for the media playlist. The wireless advertisement comprises the media playlist identifier. The first mobile device receives at least one media playlist modification request from a second mobile device. The at least one media playlist modification request is received via the server.",Accenture Global Solutions Limited,IE,No other references field

Filtering of packets for packet types at network devices,"10,348,684",H04L 45/42 (20130101); H04L 45/64 (20130101); H04L 63/0245 (20130101); H04L 63/101 (20130101); H04L 61/1511 (20130101); H04L 63/1416 (20130101); H04L 45/38 (20130101); H04L 63/0236 (20130101); H04L 63/0263 (20130101); H04L 45/7457 (20130101),"H04L 29/06 (20060101); H04L 29/12 (20060101)Wakumoto; Shaun (Roseville, CA), Huang; Freeman Yufei (Roseville, CA), Navarro; Tomas (Roseville, CA), Kim; Nam Soo (Roseville, CA), Lavigne; Bruce E (Roseville, CA), Chiu; Jechun (Austin, TX), Tandel; Sebastien (Porto Alegre, BR)",HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,Examples include a network device to filter a packet for a packet type. The network device includes a filter to receive the packet and to determine whether the packet is a defined packet type. The network device also includes a Bloom filter to receive the packet from the filter based on the determination that the packet is a defined packet type and to determine whether the packet is a matched packet or an unmatched packet. A processing resource of the network device may receive the packet from the Bloom filter based on the determination that the packet is a matched packet and to determine whether the packet is an exact match.,Hewlett Packard Enterprise Development LP,US,"C Sun, B. Liu and L. Shi, ""Efficient and Low-Cost Hardware Defense Against DNS Amplification Attacks,"" IEEE GLOBECOM 2008--2008 IEEE Global Telecommunications Conference, New Orleans, LO, 2008, pp. 1-5. (Year: 2008). cited by examiner . UzmaSattar, T. Naqash, M. R. Zafar, K. Razzaq and F. bin Ubaid, ""Secure DNS from amplification attack by using modified bloom filters,"" Eighth International Conference on Digital Information Management (ICDIM 2013), Islamabad, 2013, pp. 20-23. (Year: 2013). cited by examiner . Ashish Goel and Pankaj Gupta, ""Small Subset Queries and Bloom Filters Using Ternary Associative Memories, with Applications,"" Jun. 2010, pp. 1-12, ACM. cited by applicant . Atsushi Ooka, ""Hardware Design and Evaluation of CAM-based High-speed CCN Router,"" Feb. 10, 2014, pp. 1-39, Master's Thesis, Osaka University. cited by applicant . Martin J. Reed et al., ""Stateless Multicast Switching in Software Defined Networks,"" Nov. 19, 2015, pp. 1-7. cited by applicant . Sarang Dharmapurikar et al., ""Fast Packet Classification Using Bloom Filters,"" Jan. 1, 2006, pp. 1-31, Washington University in St. Louis, Report No. 2006-27. cited by applicant . Yuhua Chen et al., ""Power Efficient Packet Classification Using Cascaded Bloom Filter and Off-the-shelf Ternary Cam for WDM Networks,"" Feb. 12, 2009, pp. 1-4, Elsevier B.V. cited by applicant . Sarang Dharmapurikar et al., ""Deep Packet Inspection using Parallel Bloom Filters,"" Sep. 2003, pp. 1-8, Washington University in St. Louis. cited by applicant."

Optimum cruise climb tracking for reduced fuel consumption using vertical and lateral navigation,"10,345,824",G05D 1/0615 (20130101); G05D 1/0653 (20130101); G08G 5/0013 (20130101); G05D 1/0607 (20130101); G05D 1/046 (20130101); G08G 5/0021 (20130101); G05D 1/0066 (20130101); B64D 31/06 (20130101); B64C 13/16 (20130101); B64C 13/18 (20130101); G05D 1/0005 (20130101); G08G 5/0052 (20130101); G05D 1/0661 (20130101); G05D 1/0676 (20130101); G05D 1/005 (20130101),"G05D 1/00 (20060101); G05D 1/06 (20060101); G05D 1/04 (20060101); B64C 13/16 (20060101); G08G 5/00 (20060101)Kim; Geun Il (Bellevue, WA), Fregnani; Jose Alexandre Tavares Guerreiro (Sao Jose dos Campos, BR), Rohr; Timothy Charles (Seattle, WA)",The Boeing Company,A method of optimizing a cruise climb of an aircraft. The method includes using vertical navigation and lateral navigation to track the cruise climb; and using tracking of the cruise climb to adjust a climb rate of the aircraft to match an optimal climb rate.,The Boeing Company,US,"Folse et al. ""Cruise Altitude and Speed Optimization Implemented in a Pilot Decision Support Tool."" 16th AIAA Aviation Technology, Integration, and Operations Conference, 2016, 10 pages. cited by applicant . Dalmau et al., ""Fuel and time savings by flying continuous cruise climbs Estimating the benefit pools for maximum range operations,"" Elsevier Ltd., Transportation Research Part D 35, 2015, 10 pages. cited by applicant."

Scan testing and method thereof,"10,345,379",G01R 31/318552 (20130101); G01R 31/318541 (20130101),"G01R 31/28 (20060101); G01R 31/3185 (20060101)Lujan; Alexandre Sansigolo (Campinas, BR), Kataoka; Milton Hissasi (Campinas, BR), Takiguti; Rubens (Campinas, BR)","NXP USA, Inc.",An integrated circuit includes clock suppression circuitry that can suppress the launch pulse of an at-speed test to prevent scan test data from propagating from an output of a scan latch through a multi-clock cycle combinational logic path to a downstream scan latch during the at-speed test. The integrated circuit can also suppress the capture pulse of an at-speed test to prevents scan test data that is propagated from an upstream scan latch through a multi-cycle combinational logic path from being latched at the downstream latch during the at-speed test.,"NXP USA, Inc.",US,No other references field

Improper opening detection method of multiple suction reciprocating compressor suction valve,"10,344,754",F04B 39/1073 (20130101); F04B 35/04 (20130101); F04B 49/02 (20130101); F04B 39/08 (20130101); F04B 51/00 (20130101); G01M 15/044 (20130101); F04B 39/10 (20130101); F04B 49/10 (20130101); F04B 49/03 (20130101); F04B 49/06 (20130101); F04B 2201/0603 (20130101); F04B 2203/0201 (20130101); F04B 2203/0202 (20130101); F04B 2203/0207 (20130101); F04B 2203/0208 (20130101); F04B 2203/0209 (20130101),"F04B 53/10 (20060101); F04B 39/08 (20060101); G01M 15/04 (20060101); F04B 49/02 (20060101); F04B 49/06 (20060101); F04B 49/10 (20060101); F04B 51/00 (20060101); F04B 35/04 (20060101); F04B 49/03 (20060101); F04B 39/10 (20060101)Andrich; Roberto (Joinville, BR), Maria; Daniel De Figueiredo (Joinville, BR)",Whirlpool S.A.,"A method for detecting an improper opening of a multiple suction reciprocating compressor suction valve of a reciprocating compressor includes monitoring, by an electronic processing core, a variable proportional to torque of an electrical engine that cooperates with a piston of the reciprocating compressor, the variable being measured by a sensor. A detection of the improper opening of the suction valve is made by a detection of at least one peak of the variable proportional to torque of the electrical engine during power of the electromagnetic field generator element.",Embraco-Industria De Compressores E Solucoes Em Refrigeracao Ltda.,BR,No other references field

Double stranded RNA compositions for reducing asian citrus psyllid infestation and methods of use,"10,344,291",C12N 15/8218 (20130101); A01N 63/10 (20200101); C12N 15/8281 (20130101); C12N 9/2402 (20130101); C12N 15/8286 (20130101); A01N 57/16 (20130101); C12Y 302/01028 (20130101); Y02A 40/162 (20180101),"C12N 15/82 (20060101); A01N 25/08 (20060101); A01N 57/16 (20060101); C12N 7/00 (20060101); C12N 9/24 (20060101)Hunter; Wayne B. (Port St. Lucie, FL), Gonzalez; Maria T. (Port St. Lucie, FL), Andrade; Eduardo C. (Cruz das Almas, BR)","The United States of America, as represented by the Secretary of Agriculture Embrapa, PqEB Parque Estacao Biologica","dsRNA generated from D. citri trehalase gene is effective in reducing fitness and/or survival of D. citri. Thus genetically altered plants expressing the dsRNA and plants to which dsRNA solutions are applied increase D. citri mortality and reduce D. citri infestation. With reduced D. citri population, the spread of microorganisms for which D. citri is a vector is reduced. Such microorganisms include, but are not limited to, C. Liberibacter species, including: CLas, CLam, and CLaf. Thus, applying of the D. citri trehalase dsRNA to a plant reduces disease and/or microorganism transmission by killing D. citri that feed on the treated plant.","The United States of America, as Represented by the Secretary of Agriculture",US BR,No other references field

Process for the production of nanoparticles and compositions,"10,344,201",C01G 49/08 (20130101); C09K 8/58 (20130101); C09K 8/035 (20130101); C01P 2006/42 (20130101); C09K 2208/10 (20130101); C01P 2002/88 (20130101); C01P 2004/64 (20130101); C01P 2006/82 (20130101),"C01G 49/08 (20060101); C09K 8/58 (20060101); C09K 8/035 (20060101)Araki; Koiti (Cotia, BR), Toma; Sergio Hiroshi (Sao Paolo, BR), Da Silva; Delmarcio Gomes (Sao Paolo, BR), Toma; Henrique Eisi (Sao Paolo, BR), Wagner; Rita de Cassia Comis (Rio de Janeiro, BR), Dos Santos; Bernardo Coutinho Camilo (Rio de Janeiro, BR), Waldmann; Alex Tadeu de Almeida (Rio de Janeiro, BR)",PETROLEO BRASILEIRO S.A.--PETROBRAS Universidade de Sao Paulo--USP,"This invention describes the development of technology for the preparation of superparamagnetic lipophilic nanofluids, as well as of drilling fluid additives based on the aforementioned nanofluids, which improve the properties which form walls or mud filter cakes and concomitantly act as contrast agents in RMN logging.",PETROLEO BRASILEIRO S.A.--PETROBRAS,BR BR,No other references field

Method for providing resistance to yellowing in polyamide articles and polyamide articles obtained from this method,"10,344,143",D01F 6/60 (20130101); C08L 77/02 (20130101); C08G 69/28 (20130101); C08K 5/42 (20130101); C08L 77/06 (20130101); D01F 1/10 (20130101); C08G 69/16 (20130101); C08L 77/02 (20130101); C08K 5/42 (20130101); C08L 77/06 (20130101); C08K 5/42 (20130101); D10B 2331/02 (20130101),"C08K 5/42 (20060101); C08G 69/16 (20060101); D01F 6/60 (20060101); D01F 1/10 (20060101); C08G 69/28 (20060101); C08L 77/06 (20060101); C08L 77/02 (20060101)Redondo Bonaldi; Renata (Sao Paulo, BR), Gorescu; Gabriel (Sao Paulo, BR), Gonzaga Canova; Thomas (Sao Paulo, BR), Ferreira Dos Santos; Everton (Sao Paulo, BR)",RHODIA POLIAMIDA E ESPECIALIDADES S.A.,"The present invention relates to a method for providing resistance to phenolic yellowing, during storage, transportation and processing of polyamide articles, caused by the presence of phenolic compounds in plastic package materials. The phenolic yellowing resistance is obtained by adding a sulfonated reagent during polymerization of the polyamide and/or during the formation of the polyamide article, like melt-spinning extrusion, and/or during the conversion of the polyamide article by texturizing.",RHODIA POLIAMIDA E ESPECIALIDADES S.A.,BR,"ASTM E313 Standard Practice for Calculating Yellowness and Whiteness Indices from Instrumentally Measured Color Coordinates, Jun. 2015. (Year: 2015). cited by examiner."

"Integrated illumination and signaling system for navigation purposes, method for integrating illumination and signaling for navigation purposes, and device integrating illumination and signaling for navigation purposes","10,343,752",G01S 13/937 (20200101); H01Q 15/18 (20130101); B63B 45/06 (20130101); G01S 13/86 (20130101); B63B 45/04 (20130101); B63B 45/00 (20130101); H01Q 1/34 (20130101); B63B 45/02 (20130101); B60Q 1/26 (20130101); G08G 3/00 (20130101),"B63B 45/00 (20060101); H01Q 1/34 (20060101); G01S 13/93 (20060101); B63B 45/06 (20060101); G08G 3/00 (20060101); B63B 45/04 (20060101); B63B 45/02 (20060101); G01S 13/86 (20060101)Ferronato; Elio Jose (Sao Jose, BR)",Ferronato; Elio Jose,"The invention relates to an integrated illumination and signalling system for navigation purposes integrating a front illumination assembly for the prow, a rear sternlight assembly, an upper anchor light assembly, an illumination assembly at the base of the transparent mast, a signalling assembly also arranged at the rear for illuminating the stern of the vessel, starboard and port side signalling light assemblies pre-arranged in a central longitudinal portion of the vessel, from the center to the rear, preferably on the top frame or a cover of the vessel. The invention also relates to a method for integrating illumination and signalling for nagivation purposes, consisting in a support device combining illumination and signalling and a device integrating illumination and signalling for navigation purposes, comprising a sole plate attached to the vessel, on the top frame, a column or suitable support, with a two-part hull providing an inner support for attaching a radar deflection device(es) a support element for the flag mast and suitably arranged lights and signals on the outside, according to international navigation standards; the hull (1), the fixed sole plate (2), the rear cover (5), the combined support (7), the rod (10), the reflectors (602, 803, 14 and 1401) and the lenses (601, 804, 1402 and 1403) being preferably made of a polymer material protected against UV (ultra-violet) radiation.",58043709,BR,No other references field

Reconfigurable microfluidic device and method of manufacturing the same,"10,343,162",B01L 3/502715 (20130101); B01L 3/502746 (20130101); B01L 3/502707 (20130101); B81B 1/006 (20130101); B81C 1/00111 (20130101); B01L 2300/0645 (20130101); B81B 2201/058 (20130101); B01L 2400/082 (20130101); F16B 1/0014 (20130101); B81B 2203/0361 (20130101); B01L 2400/0661 (20130101); B01L 2200/06 (20130101); B01L 2200/0652 (20130101); B01L 2200/0668 (20130101); B01L 2200/12 (20130101); B01L 2300/123 (20130101); B01L 3/502761 (20130101); B01L 2400/086 (20130101),"B01L 3/00 (20060101); B81B 1/00 (20060101); B81B 7/04 (20060101); B81C 1/00 (20060101); F16B 1/00 (20060101)Azpiroz; Jaione Tirapu (Rio de Janeiro, BR), Bryant; Peter William (Rio de Janeiro, BR), Barros Ferreira; Rodrigo Neumann (Rio de Janeiro, BR), Giro; Ronaldo (Rio de Janeiro, BR), Ohta; Ricardo Luis (Sao Paulo, BR)",International Business Machines Corporation,"A microfluidic device, including a matrix array of controllable shape-changing micropillars where a shape of the shape-changing micropillars is changed by a fluid.",INTERNATIONAL BUSINESS MACHINES CORPORATION,US,No other references field

"Use of an organic citrus extract with high antimicrobial capacity and xylitol as a preservative system in liquids, emulsions, suspensions, creams and antacids","10,342,841",A61K 9/0095 (20130101); A61K 31/80 (20130101); A61K 31/047 (20130101); A61K 45/06 (20130101); A61K 9/0053 (20130101); A61K 47/34 (20130101); A61K 47/46 (20130101); A61K 31/426 (20130101); A61K 36/752 (20130101); A61K 47/14 (20130101); A61K 33/08 (20130101); A61K 31/341 (20130101); A61K 31/4164 (20130101); A61K 47/26 (20130101); A61K 31/047 (20130101); A61K 2300/00 (20130101); A61K 33/08 (20130101); A61K 2300/00 (20130101); A61K 31/4164 (20130101); A61K 2300/00 (20130101); A61K 31/341 (20130101); A61K 2300/00 (20130101); A61K 31/426 (20130101); A61K 2300/00 (20130101); A61K 31/80 (20130101); A61K 2300/00 (20130101),"A61K 9/00 (20060101); A61K 47/26 (20060101); A61K 47/14 (20170101); A61K 33/08 (20060101); A61K 36/752 (20060101); A61K 47/34 (20170101); A61K 45/06 (20060101); A61K 47/46 (20060101); A61K 31/047 (20060101); A61K 31/341 (20060101); A61K 31/80 (20060101); A61K 31/426 (20060101); A61K 31/4164 (20060101)Barraza; Javier (Sao Jose dos Campos, BR), Muniz; Renata (Sao Jose dos Campos, BR)",JOHNSON & JOHNSON CONSUMER INC.,Liquid antacid compositions containing citrus extract are disclosed. The liquid antacid compositions possess superior resistance to microbial attack.,Johnson & Johnson Consumer Inc.,US,No other references field

Therapeutic compositions comprising monoterpenes,"10,342,765",A61K 47/10 (20130101); A61K 31/4188 (20130101); A61K 9/0048 (20130101); A61K 45/06 (20130101); A61K 31/415 (20130101); A61P 35/00 (20180101); A61K 9/0073 (20130101); A61K 9/0043 (20130101); A61K 31/045 (20130101); A61K 9/08 (20130101); A61K 31/045 (20130101); A61K 2300/00 (20130101); A61K 31/415 (20130101); A61K 2300/00 (20130101); A61K 31/4188 (20130101); A61K 2300/00 (20130101),"A61K 31/045 (20060101); A61K 47/10 (20170101); A61K 45/06 (20060101); A61K 31/4188 (20060101); A61K 31/415 (20060101); A61K 9/00 (20060101)Chen; Thomas C. (Los Angeles, CA), da Fonseca; Clovis O. (Rio de Janeiro, BR), dos Santos; Thereza Quirico (Niteroi, BR), Schwartsmann; Gilberto (Porto Alegre, BR)",University of Southern California,"This invention provides a compositions for transport of a therapeutic agent. The compositions contain a therapeutic agent and a monoterpene or an analog thereof. In one aspect, the monoterpene is perillyl alcohol (POH) or an analog thereof. In one aspect, the therapeutic agent is provided in an amount effective to treat the disease or subject of choice.",University of Southern California,US,No other references field

Probes and pressure modulation algorithms for reducing extratissue contamination in hemodynamic measurement,"10,342,488",A61B 5/0017 (20130101); A61B 5/14553 (20130101); A61B 5/0295 (20130101); A61B 5/1495 (20130101); A61B 5/6843 (20130101); A61B 5/7282 (20130101); A61B 5/6814 (20130101); A61B 5/7246 (20130101); A61B 5/0261 (20130101); A61B 5/14552 (20130101); A61B 2562/0242 (20130101); A61B 2562/0238 (20130101); A61B 2560/0223 (20130101); A61B 2562/146 (20130101),"A61B 5/026 (20060101); A61B 5/00 (20060101); A61B 5/0295 (20060101); A61B 5/1455 (20060101); A61B 5/1495 (20060101)Baker; Wesley B. (Philadelphia, PA), Yodh; Arjun G. (Merion, PA), Busch, Jr.; David R. (Philadelphia, PA), Parthasarathy; Ashwin B. (West Chester, PA), Mesquita; Rickson C. (Campinas, BR), Chandra; Malavika (Framingham, MA)",The Trustees of The University of Pennsylvania,"The present disclosure provides devices and methods for improved hemodynamic monitoring, including techniques for reducing signals related to hemodynamic activity outside the tissue or region of interest.",The Trustees of the University of Pennsylvania,US,"Li et al. Simultaneous measurement of deep tissue blood flow and oxygenation using noncontact diffuse correlation spectroscopy flox-oximeter Scientific Reports 3:1358 Feb. 28, 2013 pp. 1-10. cited by examiner . Baker et al., ""Modified Beer-Lambert law for blood flow"", Biomedical Optics Express, Oct. 28, 2014, 5, 4053-4075. cited by applicant . Durduran et al., ""Diffuse optics for tissue monitoring and tomography"", Reports on Progress in Physics, Jun. 2, 2010, 73, 076701, 43 pages. cited by applicant . Fabbri et al., ""Optical measurements of absorption changes in two-layered diffusive media"", Physics in Medicine and Biology, 2004, 49, 1183-1201. cited by applicant . Yodh, ""Spatially varying dynamical properties of turbid media probed with diffusing temporal light correlation"", Journal of the Optical Society of America A, Jan. 14, 1997, 1, 192-215. cited by applicant."

